id,type,label,door,clicks,keyboard,prereq,registry,dispatch,render,states,honesty,click_interpretation,first_arrival
app:change-places,app,Change places,Go|Search|shortcut,2|0|0,⌘⇧P; ⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:49-63,web/src/desk/tools.ts:4-21 -> web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/ChangePlacesCore.tsx:13-61,read/local; N/A done,"local picker, no domain async done",pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-intelligence,app,Intelligence,Dock|HoldSpeak mark|Search,1|2|0,⌘K+query+Enter,normal Chair; Search uses desk.open-intelligence,web/src/desk/applications.ts:65-73,web/src/desk/components/window/Dock.tsx:110-143 -> web/src/desk/intelligenceNavigation.ts:18-23 -> web/src/desk/store/compositorSlice.ts:137-154,web/src/desk/components/Pullout.tsx:54-104 -> web/src/desk/pullouts/IntelligencePullout.tsx:79-,read/navigation,child data states not exhaustively verified,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:dictate,app,Speak,Dock|Go|shortcut|Search,1|2|0|0,⌘1; ⌘K+query+Enter,normal Chair; mic permission for capture,web/src/desk/applications.ts:75-93,web/src/desk/components/window/Dock.tsx:110-143 or web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/DictationCore.tsx:63-190,all,readiness/capture/refusal/receipt named,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:ask,app,Ask AI,Go|Search,2|0,⌘I; ⌘K+query+Enter,normal Chair; selection optional,web/src/desk/applications.ts:96-103,web/src/desk/verbRegistry.ts:581-603 -> web/src/desk/store/deskSlice.ts:143-150,web/src/desk/components/AskPanel.tsx:64-95,all,compose/routing/printed/action error,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:review-meetings,app,Meetings,Dock|Go|shortcut|Search,1|2|0|0,⌘2; ⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:105-123,web/src/desk/components/window/Dock.tsx:110-143 or web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/HistoryCore.tsx:33-111,all,resource/no-model/refusal/receipt,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:inspect-personas-and-coders,app,Agents,Dock|Go|shortcut|Search,1|2|0|0,⌘3; ⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:125-144,web/src/desk/components/window/Dock.tsx:110-143 or web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/CompanionCore.tsx:30-46,138-177",all/read,empty sessions/agents and recipe error named,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:configure-settings,app,Settings,Dock|Go|shortcut|Search,1|2|0|0,⌘4; ⌘K+query+Enter,normal Chair; module is second choice,web/src/desk/applications.ts:146-172,web/src/desk/components/window/Dock.tsx:110-143 or web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/SettingsCore.tsx:737-780,1882-1944",all outer; module gaps,Finding 5,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:record-live,app,Live meeting,Start/Record row|Search,1|0,⌘K+query+Enter,normal Chair; mic/device permission,web/src/desk/applications.ts:174-188,web/src/desk/components/DeskStartActions.tsx:5-45 or web/src/desk/components/RecordOrb.tsx:69 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/LiveCore.tsx:67-96,454-534",all,devices/plugins/capture recovery/saved receipt,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:configure-cadence,app,Rhythm,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:190-212,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/CadenceCore.tsx:170-197,348-434,556-645",all,running/held/generating/error/written,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-constitutional-context,app,Context,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:214-229,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/ConstitutionalContextCore.tsx:19-28,104-165",all,loading/error/dirty/saving/saved,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-workbenches,app,Workbenches,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:231-246,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/WorkbenchesHomeCore.tsx:36-159,all,loading/empty/error/run completed/failed,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:design-components,app,Components,deep route only; no normal Search row,0 URL,none,normal Chair for surface host; /design/components route,web/src/desk/applications.ts:248-262,web/src/routes.tsx:31-76 -> SurfaceRedirect -> web/src/desk/components/SurfaceWindows.tsx:46-203,"web/src/pages/cores/ComponentsCore.tsx:87-102,269-304",read/demo,explicit state catalog; domain done N/A,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:inspect-activity,app,Activity,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:264-280,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/ActivityCore.tsx:46-63,87-127,220-255",all,resource empty/action busy/error/retry,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-project-memory,app,Desk memory,Go|project Search row|Search,2|0|0,⌘K+query+Enter,normal Chair; project scope for Room,web/src/desk/applications.ts:282-299,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/pages/cores/ProjectMemoryCore.tsx:1-14 -> web/src/features/project-room/ProjectRoomCore.tsx:2010-2038,degraded collapse,Finding 1: non-ok needs-you becomes zero,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-concierge,app,Models,Go via configure-runs-on Models alias|contextual Choose model|Search,2|1|0,⌘K+query+Enter,normal Chair for Go alias; model assignment or Choose model face for contextual door,web/src/desk/applications.ts:301-322,contextual caller or web/src/desk/components/DeskToolShelf.tsx:361-373 -> web/src/desk/shell.ts:94-118; web/src/desk/applications.ts:408 via alias to the same Concierge core,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/features/concierge/ConciergeCore.tsx:404-431,604-622",all,loading/empty/ready/not-set/unreachable/waiting/checking/error,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:project-setup,app,New Project,Desk New|first-value Setup|Start row|Search,3|1|1|0,⌘K+query+Enter,first-value recovery or normal start; outcome for Create,web/src/desk/applications.ts:324-339,web/src/desk/verbRegistry.ts:230-240 or web/src/desk/components/FirstWords.tsx:457-467 -> web/src/desk/shell.ts:94-118,web/src/features/project-room/door/DoorCore.tsx:378-473,all,unpicked/checking/live/cant_check/create busy/error/blank receipt,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:inspect-processes,app,Processes,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:341-356,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/ProcessCore.tsx:115-177,row states; initial poll risk,running/waiting/failed/refused/unknown; no initial loading token verified,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:configure-commands,app,Commands,Go|Search,2|0,⌘K+query+Enter,normal Chair,web/src/desk/applications.ts:358-373,web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/CommandsCore.tsx:42-55,141-160,149-306",all,resource loading/error/empty/busy/success/refusal,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:open-people,app,People,HoldSpeak mark|Search,2|0,⌘K+query+Enter,normal Chair; protected data may be unavailable,web/src/desk/applications.ts:375-390,"web/src/desk/components/DeskChrome.tsx:27-30,142-180 or web/src/desk/components/DeskToolShelf.tsx:361-373 -> web/src/desk/shell.ts:94-118","web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/PeopleCore.tsx:130-147,224-238,353-375",all,loading/error/empty/protected failure/busy,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:review-calendar-snapshot,app,Calendar snapshot,context/deep route only,0 URL,none,snapshot evidence,web/src/desk/applications.ts:392-406,web/src/routes.tsx:31-76 or context caller -> web/src/desk/shell.ts:94-118,"web/src/desk/components/SurfaceWindows.tsx:46-203 -> web/src/pages/cores/CalendarSnapshotReviewCore.tsx:27-29,37-118",all,read error/saving/error/done receipt,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:configure-runs-on,app,Models alias,Go|Search|deep route,2|0|0 URL,⌘K+query+Enter,normal Chair; alias targets Concierge,web/src/desk/applications.ts:408-416; aliases:455-461,web/src/desk/components/SurfaceWindows.tsx:97-105 -> web/src/desk/shell.ts:94-118,web/src/features/concierge/ConciergeCore.tsx:404-431,Concierge all,alias does not mint a second core,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
app:configure-integrations,app,Connections alias,Go|Search|Settings module,2|0|2,⌘K+query+Enter,normal Chair; integration:destinations scope,web/src/desk/applications.ts:418-428,web/src/desk/tools.ts:4-21 -> web/src/desk/verbRegistry.ts:581-608 -> web/src/desk/shell.ts:94-118,"web/src/pages/cores/SettingsCore.tsx:1812-1859,1914-1944",all; NOT CHECKED until check,connections receipt is explicit,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:meeting,kind,Meeting,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists; selection for Object menu,web/src/lib/primitives.ts:428-437; web/src/desk/pullouts/registry.ts:27,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/MeetingPullout.tsx:43-130,partial,intel states explicit; fetch catch/null lacks loading distinction,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
kind:artifact,kind,Artifact,object row|Object menu|Search,1|3|0,⌘K+query+Enter,object exists,web/src/lib/primitives.ts:439-449; web/src/desk/pullouts/registry.ts:28,web/src/desk/store/compositorSlice.ts:137-154 -> web/src/desk/components/Pullout.tsx:54-104,web/src/desk/pullouts/ArtifactPullout.tsx:13-70,read/N/A,material/lineage read; copy receipt only,pointer activations only; keyboard chord+query+Enter = 3 interaction steps; shortcut = 1 chord; direct URL is not a visible door,normal chrome gated by FirstWords/setup; not a normal-arrival path before first value
