id,path,line,source,kind,text,context,confidence,surface,language,word_count,has_sentence_punct,scope,a7_candidate,long_words_13_letters,plain_word_review,abbreviation_review,verdict
8,web/src/components/AmbientLayer.tsx,127,web/src/components/AmbientLayer.tsx:127,jsx-text,Intelligence queue,JSX text,static,rendered,words,2,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
46,web/src/components/ErrorBoundary.tsx,23,web/src/components/ErrorBoundary.tsx:23,jsx-attr,This surface needs a reset,title,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
90,web/src/desk/api.ts,152,web/src/desk/api.ts:152,ts-string,Intelligence,name,candidate,possible,words,1,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
95,web/src/desk/applications.ts,67,web/src/desk/applications.ts:67,ts-string,intelligence:desk,windowId,static-map,vocabulary,words,2,False,source,False,[],"[{""word"": ""intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
96,web/src/desk/applications.ts,68,web/src/desk/applications.ts:68,ts-string,Intelligence,label,static-map,vocabulary,words,1,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
107,web/src/desk/applications.ts,165,web/src/desk/applications.ts:165,ts-string,Configuration,eyebrow,static-map,vocabulary,words,1,False,source,False,"[""Configuration""]","[{""word"": ""Configuration"", ""syllables_estimate"": 5, ""plain_candidate"": ""setup""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
292,web/src/desk/chair/_parked/ThoughtEntry.tsx,76,web/src/desk/chair/_parked/ThoughtEntry.tsx:76,jsx-text,What are you working through?,JSX text,static,rendered,words,5,True,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
293,web/src/desk/chair/_parked/ThoughtEntry.tsx,77,web/src/desk/chair/_parked/ThoughtEntry.tsx:77,jsx-attr,What are you working through?,label,static,rendered,words,5,True,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
353,web/src/desk/chair/_parked/lanes/BriefLane.tsx,265,web/src/desk/chair/_parked/lanes/BriefLane.tsx:265,jsx-text,more -- Open Intelligence,JSX text,static,rendered,words,3,False,parked,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
361,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,402,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx:402,jsx-text,Cancel?,JSX text,static,rendered,words,1,True,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
376,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,478,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx:478,jsx-text,No calendar connected.,JSX text,static,rendered,words,3,True,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
378,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,484,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx:484,jsx-text,No future time scheduled.,JSX text,static,rendered,words,4,True,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
386,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,594,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx:594,jsx-text,No relationships,JSX text,static,rendered,words,2,False,parked,False,"[""relationships""]",[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
399,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,710,web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx:710,jsx-attr,"Door board, scroll horizontally for all columns",aria-label,static,rendered,words,7,False,parked,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
433,web/src/desk/components/ApplicationBoundary.tsx,43,web/src/desk/components/ApplicationBoundary.tsx:43,jsx-text,. Your other Desk work remains open. Reload the application.,JSX text,static,rendered,words,9,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
462,web/src/desk/components/AskPanel.tsx,411,web/src/desk/components/AskPanel.tsx:411,jsx-attr,Possibly unsupported by the cited material,title,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
516,web/src/desk/components/AttentionDrawer.tsx,164,web/src/desk/components/AttentionDrawer.tsx:164,jsx-attr,Intelligence attention,aria-label,static,rendered,words,2,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
517,web/src/desk/components/AttentionDrawer.tsx,165,web/src/desk/components/AttentionDrawer.tsx:165,jsx-text,Intelligence,JSX text,static,rendered,words,1,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
524,web/src/desk/components/AttentionDrawer.tsx,174,web/src/desk/components/AttentionDrawer.tsx:174,jsx-attr,Desk memory unavailable,error,static,rendered,words,3,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
635,web/src/desk/components/DeliveryDossierWindow.tsx,34,web/src/desk/components/DeliveryDossierWindow.tsx:34,ts-string,source changed since this bundle,hint,candidate,possible,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
639,web/src/desk/components/DeliveryDossierWindow.tsx,37,web/src/desk/components/DeliveryDossierWindow.tsx:37,ts-string,story not in any source,hint,candidate,possible,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
665,web/src/desk/components/DeliveryDossierWindow.tsx,185,web/src/desk/components/DeliveryDossierWindow.tsx:185,jsx-attr,Opens this captured asset in a new tab.,title,static,rendered,words,8,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
722,web/src/desk/components/DeliveryTerminalWindow.tsx,139,web/src/desk/components/DeliveryTerminalWindow.tsx:139,jsx-text,Recovered local steer draft.,JSX text,static,rendered,words,4,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
768,web/src/desk/components/DeskCreateMenu.tsx,43,web/src/desk/components/DeskCreateMenu.tsx:43,ts-string,desk-chip desk-create-button,literal,static-map,vocabulary,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
794,web/src/desk/components/DeskEditor.tsx,403,web/src/desk/components/DeskEditor.tsx:403,jsx-text,1.,JSX text,static,rendered,glyph-or-symbol,1,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
801,web/src/desk/components/DeskFilingStrip.tsx,24,web/src/desk/components/DeskFilingStrip.tsx:24,jsx-attr,Filing unavailable,error,static,rendered,words,2,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
853,web/src/desk/components/DeskMenu.tsx,27,web/src/desk/components/DeskMenu.tsx:27,ts-string,"[role='menuitem'],[role='menuitemcheckbox'],[role='menuitemradio']",MENUITEM_SELECTOR,static-map,vocabulary,words,6,False,source,True,"[""menuitemcheckbox"", ""menuitemradio""]",[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
921,web/src/desk/components/DeskToolInspector.tsx,285,web/src/desk/components/DeskToolInspector.tsx:285,jsx-text,· unavailable on this Desk,JSX text,static,rendered,words,4,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
974,web/src/desk/components/DeskToolInspector.tsx,533,web/src/desk/components/DeskToolInspector.tsx:533,jsx-text,Selected material is retained; retry the action.,JSX text,static,rendered,words,7,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
978,web/src/desk/components/DeskToolShelf.tsx,535,web/src/desk/components/DeskToolShelf.tsx:535,jsx-text,Search tools and Desk items,JSX text,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
979,web/src/desk/components/DeskToolShelf.tsx,538,web/src/desk/components/DeskToolShelf.tsx:538,jsx-attr,Search tools and Desk items,label,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
980,web/src/desk/components/DeskToolShelf.tsx,540,web/src/desk/components/DeskToolShelf.tsx:540,jsx-attr,Search tools and Desk items,placeholder,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
989,web/src/desk/components/DeskToolShelf.tsx,608,web/src/desk/components/DeskToolShelf.tsx:608,jsx-text,No matching tools or Desk items.,JSX text,static,rendered,words,6,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1012,web/src/desk/components/EmptyDesk.tsx,45,web/src/desk/components/EmptyDesk.tsx:45,jsx-text,or right-click for more options,JSX text,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1020,web/src/desk/components/EmptyDesk.tsx,69,web/src/desk/components/EmptyDesk.tsx:69,jsx-expression-string,Everything runs on this device,JSX expression,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1025,web/src/desk/components/FirstWords.tsx,359,web/src/desk/components/FirstWords.tsx:359,jsx-text,Speak. Then edit and keep your text.,JSX text,static,rendered,words,7,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1034,web/src/desk/components/FirstWords.tsx,397,web/src/desk/components/FirstWords.tsx:397,jsx-expression-string,Voice typing unavailable,JSX expression,static,rendered,words,3,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1038,web/src/desk/components/FirstWords.tsx,409,web/src/desk/components/FirstWords.tsx:409,jsx-text,Recovered your local draft after relaunch. It remains editable below.,JSX text,static,rendered,words,10,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1040,web/src/desk/components/FirstWords.tsx,423,web/src/desk/components/FirstWords.tsx:423,jsx-attr,Transcribed text appears here. You can also type.,placeholder,static,rendered,words,8,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1053,web/src/desk/components/GlassDropLayer.tsx,122,web/src/desk/components/GlassDropLayer.tsx:122,jsx-text,.vtt .srt .txt audio · calendar screenshot,JSX text,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1056,web/src/desk/components/GlassDropLayer.tsx,128,web/src/desk/components/GlassDropLayer.tsx:128,jsx-text,Transcribing runs on this device,JSX text,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1059,web/src/desk/components/GlassDropLayer.tsx,134,web/src/desk/components/GlassDropLayer.tsx:134,jsx-text,Vision model reading the screenshot,JSX text,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1075,web/src/desk/components/GroundingSection.tsx,195,web/src/desk/components/GroundingSection.tsx:195,jsx-text,No meetings on this desk yet,JSX text,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1171,web/src/desk/components/InterviewPanel.tsx,143,web/src/desk/components/InterviewPanel.tsx:143,jsx-text,Reason & prerequisites,JSX text,static,rendered,words,2,False,source,False,"[""prerequisites""]",[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1178,web/src/desk/components/InterviewPanel.tsx,153,web/src/desk/components/InterviewPanel.tsx:153,jsx-expression-string,Idea · unavailable,unsupported_idea,static,rendered,words,2,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1213,web/src/desk/components/MissionControlConveyor.tsx,183,web/src/desk/components/MissionControlConveyor.tsx:183,jsx-attr,open the evidence in place,title,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1221,web/src/desk/components/MissionControlConveyor.tsx,233,web/src/desk/components/MissionControlConveyor.tsx:233,jsx-attr,gh receipts unavailable,title,static,rendered,words,3,False,source,False,[],"[{""word"": ""unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1250,web/src/desk/components/MissionControlConveyor.tsx,376,web/src/desk/components/MissionControlConveyor.tsx:376,jsx-text,Status change failed.,JSX text,static,rendered,words,3,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1286,web/src/desk/components/MissionControlConveyor.tsx,673,web/src/desk/components/MissionControlConveyor.tsx:673,jsx-attr,PROPOSE?,confirmlabel,static,rendered,words,1,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1354,web/src/desk/components/PrReceiptsSection.tsx,204,web/src/desk/components/PrReceiptsSection.tsx:204,jsx-expression-string,Unavailable,JSX expression,static,rendered,words,1,False,source,False,[],"[{""word"": ""Unavailable"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1362,web/src/desk/components/Pullout.tsx,125,web/src/desk/components/Pullout.tsx:125,jsx-text,Could not check this Note on this hub.,JSX text,static,rendered,words,8,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1420,web/src/desk/components/RepoWindow.tsx,242,web/src/desk/components/RepoWindow.tsx:242,jsx-attr,ISSUES UNAVAILABLE,emptylabel,static,rendered,words,2,False,source,False,[],"[{""word"": ""UNAVAILABLE"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1477,web/src/desk/components/ScheduleCreateWindow.tsx,138,web/src/desk/components/ScheduleCreateWindow.tsx:138,jsx-attr,Recording starts on its own at the set time,label,static,rendered,words,9,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1499,web/src/desk/components/SessionPullout.tsx,120,web/src/desk/components/SessionPullout.tsx:120,jsx-attr,Disarm the separate session-control grant,title,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1541,web/src/desk/components/SessionPullout.tsx,406,web/src/desk/components/SessionPullout.tsx:406,jsx-attr,KILL · SURE?,label,static,rendered,words,2,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1544,web/src/desk/components/SessionPullout.tsx,423,web/src/desk/components/SessionPullout.tsx:423,jsx-attr,end this session (armed + confirm),title,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1550,web/src/desk/components/SessionPullout.tsx,500,web/src/desk/components/SessionPullout.tsx:500,jsx-text,Recovered local steer draft.,JSX text,static,rendered,words,4,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1573,web/src/desk/components/SessionPullout.tsx,632,web/src/desk/components/SessionPullout.tsx:632,jsx-attr,e.g. HS-87-05,placeholder,static,rendered,words,5,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1607,web/src/desk/components/SystemShade.tsx,262,web/src/desk/components/SystemShade.tsx:262,jsx-attr,"Reason for the agent, one line",placeholder,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1702,web/src/desk/components/ThreadComposer.tsx,977,web/src/desk/components/ThreadComposer.tsx:977,jsx-attr,Type a message...,placeholder,static,rendered,words,3,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1714,web/src/desk/components/TrustWindow.tsx,88,web/src/desk/components/TrustWindow.tsx:88,jsx-expression-string,All data stays on this device,JSX expression,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1754,web/src/desk/components/WorkbenchAutomations.tsx,120,web/src/desk/components/WorkbenchAutomations.tsx:120,jsx-text,SILENT BASELINE · MATCH ADDS ONE ITEM,JSX text,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1767,web/src/desk/components/WorkbenchAutomations.tsx,185,web/src/desk/components/WorkbenchAutomations.tsx:185,jsx-text,EVENT TRIGGER · READ-ONLY · 35 MIN REFRESH,JSX text,static,rendered,words,7,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1782,web/src/desk/components/WorkbenchResourceful.tsx,83,web/src/desk/components/WorkbenchResourceful.tsx:83,jsx-text,WHEN IDLE · ONE BOUNDED IMPROVEMENT FROM LOCAL DATA,JSX text,static,rendered,words,8,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1807,web/src/desk/components/WorkbenchResourceful.tsx,185,web/src/desk/components/WorkbenchResourceful.tsx:185,jsx-text,RUNS AS OWNER · ONLY THE SELECTED MAINTENANCE ITEM RUNS · ORDINARY PENDING WORK IS NEVER SWEPT · SOURCE DATA IS REVIEW-ONLY,JSX text,static,rendered,words,20,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1811,web/src/desk/components/WorkbenchResourceful.tsx,211,web/src/desk/components/WorkbenchResourceful.tsx:211,jsx-attr,RUN AS OWNER?,confirmlabel,static,rendered,words,3,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1813,web/src/desk/components/WorkbenchResourceful.tsx,220,web/src/desk/components/WorkbenchResourceful.tsx:220,jsx-expression-string,PAUSED · NO RESOURCEFUL WORK WILL START,JSX expression,static,rendered,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1819,web/src/desk/components/WorkbenchTemplatePicker.tsx,86,web/src/desk/components/WorkbenchTemplatePicker.tsx:86,jsx-attr,Templates failed to load. Current work is unchanged. Retry.,error,static,rendered,words,9,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1840,web/src/desk/components/WorkbenchWindow.tsx,182,web/src/desk/components/WorkbenchWindow.tsx:182,jsx-attr,Expand configuration,aria-label,static,rendered,words,2,False,source,False,"[""configuration""]","[{""word"": ""configuration"", ""syllables_estimate"": 5, ""plain_candidate"": ""setup""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1849,web/src/desk/components/WorkbenchWindow.tsx,323,web/src/desk/components/WorkbenchWindow.tsx:323,jsx-attr,Collapse configuration,aria-label,static,rendered,words,2,False,source,False,"[""configuration""]","[{""word"": ""configuration"", ""syllables_estimate"": 5, ""plain_candidate"": ""setup""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1873,web/src/desk/components/WorkbenchWindow.tsx,460,web/src/desk/components/WorkbenchWindow.tsx:460,jsx-text,Starts only when you press Run.,JSX text,static,rendered,words,6,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1883,web/src/desk/components/WorkbenchWindow.tsx,528,web/src/desk/components/WorkbenchWindow.tsx:528,jsx-attr,Agent has no skills yet,emptylabel,static,rendered,words,5,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1885,web/src/desk/components/WorkbenchWindow.tsx,534,web/src/desk/components/WorkbenchWindow.tsx:534,jsx-attr,Skills appear when an agent is bound,emptylabel,static,rendered,words,7,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1966,web/src/desk/components/WorkbenchWindow.tsx,1708,web/src/desk/components/WorkbenchWindow.tsx:1708,jsx-attr,What needs doing?,placeholder,static,rendered,words,3,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
1975,web/src/desk/components/WorkbenchWindow.tsx,1830,web/src/desk/components/WorkbenchWindow.tsx:1830,jsx-attr,Clear all?,confirmlabel,static,rendered,words,2,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
2050,web/src/desk/components/window/ShortcutSheet.tsx,41,web/src/desk/components/window/ShortcutSheet.tsx:41,ts-string,Back to Desk (keep work open),literal,candidate,possible,words,6,False,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
2105,web/src/desk/gl/WorldStage.tsx,274,web/src/desk/gl/WorldStage.tsx:274,jsx-text,. Search or use List view for everything.,JSX text,static,rendered,words,7,True,source,True,[],[],[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
2232,web/src/desk/pullouts/IntelligencePullout.tsx,35,web/src/desk/pullouts/IntelligencePullout.tsx:35,jsx-attr,Intelligence view,aria-label,static,rendered,words,2,False,source,False,[],"[{""word"": ""Intelligence"", ""syllables_estimate"": 4, ""plain_candidate"": ""summary, only for the meeting result""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
2292,web/src/desk/pullouts/NotePullout.tsx,387,web/src/desk/pullouts/NotePullout.tsx:387,jsx-text,UNAVAILABLE,JSX text,static,rendered,words,1,False,source,False,[],"[{""word"": ""UNAVAILABLE"", ""syllables_estimate"": 5, ""plain_candidate"": ""not available""}]",[],"candidate; inspect rendered context, empty-state exception and registered technical meaning"
