classification,line,marker,path,reason
sanctioned,157,"<div className=""desk-menubar"">",web/src/desk/components/DeskChrome.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,159,"<div className=""desk-menu-wrap"">",web/src/desk/components/DeskChrome.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,211,"className=""desk-menu""",web/src/desk/components/DeskChrome.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,53,"className=""desk-create-menu""",web/src/desk/components/DeskCreateMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,74,"<span className=""desk-menu-glyph"" aria-hidden=""true"">",web/src/desk/components/DeskCreateMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,317,"className=""desk-world-menu""",web/src/desk/components/DeskListView.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,106,"role=""menu""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,167,"{keycap ? <kbd className=""desk-menu-key"">{keycap}</kbd> : null}",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,175,"return <span role=""separator"" className=""desk-menu-sep"" />;",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,242,"<span className=""desk-menu-keycaps"" aria-label={keycap}>",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,244,"<kbd key={i} className=""desk-menu-well"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,325,"role=""menuitem""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,355,"<span className=""desk-menu-glyph"" aria-hidden=""true"" />",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,357,"<span className=""desk-menu-label"">{entry.label}</span>",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,358,"<span className=""desk-menu-submark"" aria-hidden=""true"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,379,"<span className=""desk-menu-glyph"" aria-hidden=""true"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,387,"<span className=""desk-menu-glyph"" aria-hidden=""true"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,394,"<span className=""desk-menu-glyph"" aria-hidden=""true"" />",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,427,"<span className=""desk-menu-label"">",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,541,"role=""menu""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
sanctioned,569,"role=""menuitem""",web/src/desk/components/DeskMenu.tsx,shared DeskMenu OS chrome; semantic menu is intentional and in-world
