classification,control,line,path,reason,tag,type
library implementation,<button>,35,web/src/components/signal/Signal.tsx,surface library implementation,"<button       className={`btn btn--${variant}${dense ? "" btn--sm"" : """"} ${className}`}       disabled={disabled || loading}       aria-busy={loading || undefined}       {...props}     >",
library implementation,<input>,86,web/src/components/signal/Signal.tsx,surface library implementation,"<input className={`hs-control ${props.className ?? """"}`} {...props} />",text/unspecified
library implementation,<textarea>,91,web/src/components/signal/Signal.tsx,surface library implementation,"<textarea       className={`hs-control signal-textarea ${props.className ?? """"}`}       {...props}     />",
library implementation,<select>,100,web/src/components/signal/Signal.tsx,surface library implementation,"<select       className={`hs-control hs-select ${props.className ?? """"}`}       {...props}     />",
sanctioned,<button>,51,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button             type=""button""             aria-pressed={controls.motion}             onClick={() => controls.setMotion(!controls.motion)}           >",
sanctioned,<button>,58,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button             type=""button""             aria-pressed={controls.sound}             onClick={() => controls.setSound(!controls.sound)}           >",
sanctioned,<button>,80,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button             type=""button""             aria-label=""Previous environment""             onClick={() => step(-1)}           >",
sanctioned,<button>,87,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button             type=""button""             aria-label=""Next environment""             onClick={() => step(1)}           >",
sanctioned,<button>,94,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button             type=""button""             onClick={() => select(id)}             disabled={savedId === id}           >",
sanctioned,<button>,108,web/src/design/AtmospherePreview.tsx,developer preview surface; excluded from owner-facing face census,"<button               type=""button""               key={entry.id}               data-scene={entry.id}               aria-pressed={id === entry.id}               onClick={() => change(entry.id)}             >",
face violation,<textarea>,432,web/src/desk/components/AskPanel.tsx,UX-CANON B/T5: raw consumer control bypasses a surface species,"<textarea                   rows={3}                   value={prompt}                   placeholder=""Instruction""                   autoFocus                   onChange={(e) => setPrompt(e.target.value)}                   onKeyDown={(e) => {                     if (e.key === ""Enter"" && !e.shiftKey) {                       e.preventDefault();                 ",
face violation,<button>,135,web/src/desk/components/CallChip.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       className={`thread-call-chip thread-call-chip--${chipState}`}       data-testid=""call-chip""       data-call-state={chipState}       onClick={handleClick}       onKeyDown={handleKeyDown}       aria-label={`Call: ${chipState}`}       tabIndex={0}     >",
face violation,<button>,89,web/src/desk/components/DeliveryBoard.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         type=""button""         className=""desk-chip quiet""         onClick={() => void useDelivery.getState().refresh()}       >",
face violation,<button>,439,web/src/desk/components/DeliveryBoard.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-chip quiet""                     title=""open the phase dossier""                     onClick={() =>                       void useDeliveryDossier                         .getState()                         .openPhase(p.slug, p.currentPhase!.number, source.sourceId)                   ",
face violation,<button>,467,web/src/desk/components/DeliveryBoard.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                         type=""button""                         className=""desk-mc-story-pick""                         title={`${s.title} [${s.status}]`}                         onClick={() =>                           void useDeliveryDossier                             .getState()                             .openStory(p.slug, s.storyId, source.source",
face violation,<button>,236,web/src/desk/components/DeliveryDossierWindow.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       type=""button""                       className=""desk-dlv-story-open""                       onClick={() =>                         void useDeliveryDossier                           .getState()                           .openStory(dossier.project, s.storyId)                       }                     >",
face violation,<button>,52,web/src/desk/components/DeliveryListSection.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                     type=""button""                     className=""desk-list-open""                     onClick={() => openRow(row)}                   >",
face violation,<button>,41,web/src/desk/components/DeskChrome.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button       type=""button""       className={`desk-bell${attention.open ? "" is-open"" : """"}`}       aria-label={         badge           ? `Desk memory: ${badge} need attention`           : ""Desk memory""       }       title=""Desk memory""       onClick={() => attention.activate()}     >",
face violation,<button>,160,web/src/desk/components/DeskChrome.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button             type=""button""             ref={markRef}             className=""desk-mark""             aria-expanded={menuOpen}             aria-haspopup=""menu""             onPointerDown={(e) => {               if (e.button !== 0) return;               if (menuOpen) setMenuOpen(false);               else {                 const r = e.currentTarget.getBoun",
face violation,<button>,40,web/src/desk/components/DeskCreateMenu.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button         ref={buttonRef}         type=""button""         className=""desk-chip desk-create-button""         aria-haspopup=""menu""         aria-expanded={open}         aria-controls={id}         onClick={() => setOpen((value) => !value)}       >",
face violation,<button>,330,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               aria-label=""Bold""               title=""Bold (⌘B)""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => toggleInlineWrap(view, ""**""))}             >",
face violation,<button>,340,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               aria-label=""Italic""               title=""Italic (⌘I)""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => toggleInlineWrap(view, ""*""))}             >",
face violation,<button>,350,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               aria-label=""Underline""               title=""Underline""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => toggleInlineWrap(view, ""<u>"", ""</u>""))}             >",
face violation,<button>,360,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Heading 1""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => setHeading(view, 1))}             >",
face violation,<button>,369,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Heading 2""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => setHeading(view, 2))}             >",
face violation,<button>,378,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Heading 3""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => setHeading(view, 3))}             >",
face violation,<button>,387,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Bulleted list""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => togglePrefix(view, /^-\s/, ""- ""))}             >",
face violation,<button>,396,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Numbered list""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => togglePrefix(view, /^\d+\.\s/, ""1. ""))}             >",
face violation,<button>,405,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Code""               onMouseDown={(event) => event.preventDefault()}               onClick={useView(toggleCode)}             >",
face violation,<button>,414,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Link""               onMouseDown={(event) => event.preventDefault()}               onClick={useView(insertLink)}             >",
face violation,<button>,423,web/src/desk/components/DeskEditor.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button               type=""button""               className=""desk-chip quiet""               title=""Quote""               onMouseDown={(event) => event.preventDefault()}               onClick={useView((view) => togglePrefix(view, /^>\s/, ""> ""))}             >",
face violation,<button>,137,web/src/desk/components/DeskFilingStrip.tsx,UX-CANON A.1/U1: every verb is the library Button,"<button                       key={String(zone.id)}                       type=""button""                       className={`desk-chip quiet${inZone ? "" in-zone"" : """"}`}                       aria-pressed={inZone}                       onClick={() =>                         void (inZone                           ? useDesk.getState().removeFromDir(objectId, Stri",
