row_type,key,canonical,variant,status,source,evidence,active_occurrences,parked_occurrences
product-term,desk,Desk,canonical-singular,observed,docs/product-language.json:5,web/src/desk/components/DeskMenuBar.tsx:25; web/src/desk/components/window/ShortcutSheet.tsx:16; web/src/desk/coverage.ts:57; web/src/lib/productLanguage.ts:13; web/src/lib/productLanguage.ts:13; web/src/routes.tsx:21,6,0
product-term,desk,Desks,canonical-plural,observed,docs/product-language.json:5,web/src/desk/components/DeskMenuBar.tsx:25; web/src/desk/components/window/ShortcutSheet.tsx:16; web/src/desk/coverage.ts:57; web/src/lib/productLanguage.ts:13; web/src/lib/productLanguage.ts:13; web/src/routes.tsx:21,6,0
product-term,meeting,Meeting,canonical-singular,observed,docs/product-language.json:11,web/src/desk/applications.ts:108; web/src/desk/chair/_parked/lanes/MeetingsLane.tsx:124; web/src/desk/components/DeskToolInspector.tsx:260; web/src/features/project-room/ProjectRoomCore.tsx:991; web/src/features/project-room/recall/model.ts:14; web/src/lib/primitives.ts:430; web/src/lib/productLanguage.ts:14; web/src/lib/productLanguage.ts:14,11,1
product-term,meeting,Meetings,canonical-plural,observed,docs/product-language.json:11,web/src/desk/applications.ts:108; web/src/desk/chair/_parked/lanes/MeetingsLane.tsx:124; web/src/desk/components/DeskToolInspector.tsx:260; web/src/features/project-room/ProjectRoomCore.tsx:991; web/src/features/project-room/recall/model.ts:14; web/src/lib/primitives.ts:430; web/src/lib/productLanguage.ts:14; web/src/lib/productLanguage.ts:14,11,1
product-term,transcript,Transcript,canonical-singular,observed,docs/product-language.json:17,web/src/lib/productLanguage.ts:15; web/src/lib/productLanguage.ts:15; web/src/meetings/MeetingConflictRecovery.tsx:85; web/src/pages/cores/LiveCore.tsx:553; web/src/pages/cores/dictation/Journal.tsx:247; web/src/pages/cores/history/MeetingReview.tsx:700,6,0
product-term,transcript,Transcripts,canonical-plural,observed,docs/product-language.json:17,web/src/lib/productLanguage.ts:15; web/src/lib/productLanguage.ts:15; web/src/meetings/MeetingConflictRecovery.tsx:85; web/src/pages/cores/LiveCore.tsx:553; web/src/pages/cores/dictation/Journal.tsx:247; web/src/pages/cores/history/MeetingReview.tsx:700,6,0
product-term,summary,Summary,canonical-singular,observed,docs/product-language.json:23,web/src/desk/components/InfoWindow.tsx:230; web/src/lib/productLanguage.ts:19; web/src/lib/productLanguage.ts:19; web/src/meetings/MeetingIntelRecovery.tsx:210; web/src/meetings/MeetingSummarySlab.tsx:52,5,0
product-term,summary,Summaries,canonical-plural,observed,docs/product-language.json:23,web/src/desk/components/InfoWindow.tsx:230; web/src/lib/productLanguage.ts:19; web/src/lib/productLanguage.ts:19; web/src/meetings/MeetingIntelRecovery.tsx:210; web/src/meetings/MeetingSummarySlab.tsx:52,5,0
product-term,action_item,Action item,canonical-singular,observed,docs/product-language.json:29,web/src/desk/ask.ts:25; web/src/desk/graph.ts:45; web/src/desk/pullouts/MeetingPullout.tsx:153; web/src/features/project-room/_parked/setup/model.ts:530; web/src/features/project-room/_parked/setup/model.ts:531; web/src/features/project-room/update/model.ts:302; web/src/lib/productLanguage.ts:20; web/src/lib/productLanguage.ts:20,8,2
product-term,action_item,Action items,canonical-plural,observed,docs/product-language.json:29,web/src/desk/ask.ts:25; web/src/desk/graph.ts:45; web/src/desk/pullouts/MeetingPullout.tsx:153; web/src/features/project-room/_parked/setup/model.ts:530; web/src/features/project-room/_parked/setup/model.ts:531; web/src/features/project-room/update/model.ts:302; web/src/lib/productLanguage.ts:20; web/src/lib/productLanguage.ts:20,8,2
product-term,result,Result,canonical-singular,observed,docs/product-language.json:35,web/src/desk/components/WorkbenchWindow.tsx:780; web/src/features/project-room/ProjectRoomCore.tsx:1680; web/src/features/project-room/prepare/PreparePosture.tsx:162; web/src/lib/productLanguage.ts:21; web/src/lib/productLanguage.ts:21,5,0
product-term,result,Results,canonical-plural,observed,docs/product-language.json:35,web/src/desk/components/WorkbenchWindow.tsx:780; web/src/features/project-room/ProjectRoomCore.tsx:1680; web/src/features/project-room/prepare/PreparePosture.tsx:162; web/src/lib/productLanguage.ts:21; web/src/lib/productLanguage.ts:21,5,0
product-term,artifact,Artifact,canonical-singular,observed,docs/product-language.json:41,web/src/desk/pullouts/MeetingPullout.tsx:168; web/src/lib/primitives.ts:441; web/src/lib/productLanguage.ts:22; web/src/lib/productLanguage.ts:22; web/src/pages/cores/history/helpers.ts:12,5,0
product-term,artifact,Artifacts,canonical-plural,observed,docs/product-language.json:41,web/src/desk/pullouts/MeetingPullout.tsx:168; web/src/lib/primitives.ts:441; web/src/lib/productLanguage.ts:22; web/src/lib/productLanguage.ts:22; web/src/pages/cores/history/helpers.ts:12,5,0
product-term,note,Note,canonical-singular,observed,docs/product-language.json:47,web/src/desk/pullouts/ThoughtContextPicker.tsx:161; web/src/desk/pullouts/ThoughtContextPicker.tsx:187; web/src/desk/thought-workspace/ThoughtDocumentPane.tsx:40; web/src/features/project-room/ProjectRoomCore.tsx:91; web/src/lib/primitives.ts:453; web/src/lib/productLanguage.ts:23; web/src/lib/productLanguage.ts:23,7,0
product-term,note,Notes,canonical-plural,observed,docs/product-language.json:47,web/src/desk/pullouts/ThoughtContextPicker.tsx:161; web/src/desk/pullouts/ThoughtContextPicker.tsx:187; web/src/desk/thought-workspace/ThoughtDocumentPane.tsx:40; web/src/features/project-room/ProjectRoomCore.tsx:91; web/src/lib/primitives.ts:453; web/src/lib/productLanguage.ts:23; web/src/lib/productLanguage.ts:23,7,0
product-term,zone,Zone,canonical-singular,observed,docs/product-language.json:53,web/src/desk/components/DeskFilingStrip.tsx:131; web/src/desk/components/DeskListView.tsx:241; web/src/desk/components/DeskListView.tsx:277; web/src/desk/components/DeskListView.tsx:291; web/src/lib/productLanguage.ts:24; web/src/lib/productLanguage.ts:24,6,0
product-term,zone,Zones,canonical-plural,observed,docs/product-language.json:53,web/src/desk/components/DeskFilingStrip.tsx:131; web/src/desk/components/DeskListView.tsx:241; web/src/desk/components/DeskListView.tsx:277; web/src/desk/components/DeskListView.tsx:291; web/src/lib/productLanguage.ts:24; web/src/lib/productLanguage.ts:24,6,0
product-term,zone,Zone,legacy-alias:directory,contextual-overlap,docs/product-language.json:53,web/src/pages/cores/dictation/Knowledge.tsx:94,0,0
product-term,zone,Zone,legacy-alias:folder,contextual-overlap,docs/product-language.json:53,web/src/pages/cores/dictation/Knowledge.tsx:94,0,0
product-term,knowledge,Knowledge,canonical-singular,observed,docs/product-language.json:59,web/src/desk/components/DeskFilingStrip.tsx:158; web/src/desk/pullouts/editors/RecipeEditor.tsx:91; web/src/lib/productLanguage.ts:25; web/src/lib/productLanguage.ts:25; web/src/pages/cores/dictation/Knowledge.tsx:110,5,0
product-term,knowledge,Knowledge collections,canonical-plural,observed,docs/product-language.json:59,web/src/desk/components/DeskFilingStrip.tsx:158; web/src/desk/pullouts/editors/RecipeEditor.tsx:91; web/src/lib/productLanguage.ts:25; web/src/lib/productLanguage.ts:25; web/src/pages/cores/dictation/Knowledge.tsx:110,5,0
product-term,knowledge,Knowledge,legacy-alias:kb,contextual-overlap,docs/product-language.json:59,web/src/desk/components/SessionPullout.tsx:525; web/src/pages/cores/dictation/Readiness.tsx:98,0,0
product-term,knowledge,Knowledge,legacy-alias:knowledge_base,contextual-overlap,docs/product-language.json:59,web/src/desk/components/SessionPullout.tsx:525; web/src/pages/cores/dictation/Readiness.tsx:98,0,0
product-term,project,Project,canonical-singular,observed,docs/product-language.json:65,web/src/desk/components/DeskFilingStrip.tsx:182; web/src/desk/components/SystemShade.tsx:526; web/src/desk/components/SystemShade.tsx:530; web/src/desk/surface/patterns/ProjectButton.tsx:43; web/src/features/project-room/_parked/setup/JiraWizard.tsx:182; web/src/features/project-room/_parked/setup/JiraWizard.tsx:209; web/src/features/project-room/_parked/setup/JiraWizard.tsx:541; web/src/features/project-room/prepare/PreparePosture.tsx:69,12,3
product-term,project,Projects,canonical-plural,observed,docs/product-language.json:65,web/src/desk/components/DeskFilingStrip.tsx:182; web/src/desk/components/SystemShade.tsx:526; web/src/desk/components/SystemShade.tsx:530; web/src/desk/surface/patterns/ProjectButton.tsx:43; web/src/features/project-room/_parked/setup/JiraWizard.tsx:182; web/src/features/project-room/_parked/setup/JiraWizard.tsx:209; web/src/features/project-room/_parked/setup/JiraWizard.tsx:541; web/src/features/project-room/prepare/PreparePosture.tsx:69,12,3
product-term,persona,Agent,canonical-singular,observed,docs/product-language.json:71,web/src/desk/applications.ts:128; web/src/desk/components/DeliveryBoard.tsx:221; web/src/desk/components/DeliveryBoard.tsx:223; web/src/desk/components/PrReceiptsSection.tsx:121; web/src/desk/components/WorkbenchWindow.tsx:192; web/src/desk/components/WorkbenchWindow.tsx:329; web/src/desk/components/WorkbenchWindow.tsx:339; web/src/lib/productLanguage.ts:27,10,0
product-term,persona,Agents,canonical-plural,observed,docs/product-language.json:71,web/src/desk/applications.ts:128; web/src/desk/components/DeliveryBoard.tsx:221; web/src/desk/components/DeliveryBoard.tsx:223; web/src/desk/components/PrReceiptsSection.tsx:121; web/src/desk/components/WorkbenchWindow.tsx:192; web/src/desk/components/WorkbenchWindow.tsx:329; web/src/desk/components/WorkbenchWindow.tsx:339; web/src/lib/productLanguage.ts:27,10,0
product-term,persona,Agent,legacy-alias:agent,contextual-overlap,docs/product-language.json:71,web/src/desk/applications.ts:128; web/src/desk/applications.ts:129; web/src/desk/components/DeliveryBoard.tsx:221; web/src/desk/components/DeliveryBoard.tsx:223; web/src/desk/components/PrReceiptsSection.tsx:121; web/src/desk/components/SystemShade.tsx:262; web/src/desk/components/WorkbenchWindow.tsx:192; web/src/desk/components/WorkbenchWindow.tsx:196,14,0
product-term,persona,Agent,legacy-alias:recipe,contextual-overlap,docs/product-language.json:71,web/src/desk/applications.ts:128; web/src/desk/applications.ts:129; web/src/desk/components/DeliveryBoard.tsx:221; web/src/desk/components/DeliveryBoard.tsx:223; web/src/desk/components/PrReceiptsSection.tsx:121; web/src/desk/components/SystemShade.tsx:262; web/src/desk/components/WorkbenchWindow.tsx:192; web/src/desk/components/WorkbenchWindow.tsx:196,14,0
product-term,coder_session,Coder session,canonical-singular,observed,docs/product-language.json:77,web/src/lib/productLanguage.ts:28; web/src/lib/productLanguage.ts:28,2,0
product-term,coder_session,Coder sessions,canonical-plural,observed,docs/product-language.json:77,web/src/lib/productLanguage.ts:28; web/src/lib/productLanguage.ts:28,2,0
product-term,coder_session,Coder session,legacy-alias:coder,contextual-overlap,docs/product-language.json:77,web/src/desk/applications.ts:129; web/src/desk/pullouts/CoderPullout.tsx:111; web/src/lib/productLanguage.ts:28; web/src/lib/productLanguage.ts:28,1,0
product-term,workflow,Workflow,canonical-singular,observed,docs/product-language.json:83,web/src/lib/primitives.ts:543; web/src/lib/productLanguage.ts:29; web/src/lib/productLanguage.ts:29,3,0
product-term,workflow,Workflows,canonical-plural,observed,docs/product-language.json:83,web/src/lib/primitives.ts:543; web/src/lib/productLanguage.ts:29; web/src/lib/productLanguage.ts:29,3,0
product-term,sequence,Sequence,canonical-singular,drift-observed,docs/product-language.json:89,web/src/lib/productLanguage.ts:30; web/src/lib/productLanguage.ts:30,2,0
product-term,sequence,Sequences,canonical-plural,drift-observed,docs/product-language.json:89,web/src/lib/productLanguage.ts:30; web/src/lib/productLanguage.ts:30,2,0
product-term,sequence,Sequence,legacy-alias:chain,drift-observed,docs/product-language.json:89,web/src/desk/pullouts/ChainPullout.tsx:46; web/src/pages/cores/AssignmentEditor.tsx:207; web/src/pages/cores/AssignmentModelChooser.tsx:88; web/src/pages/cores/AssignmentModelChooser.tsx:88,0,0
product-term,integration,Integration,canonical-singular,observed,docs/product-language.json:95,web/src/desk/components/DeliveryBoard.tsx:329; web/src/lib/productLanguage.ts:31; web/src/lib/productLanguage.ts:31,3,0
product-term,integration,Integrations,canonical-plural,observed,docs/product-language.json:95,web/src/desk/components/DeliveryBoard.tsx:329; web/src/lib/productLanguage.ts:31; web/src/lib/productLanguage.ts:31,3,0
product-term,integration,Integration,legacy-alias:connector,contextual-overlap,docs/product-language.json:95,web/src/pages/cores/ActivityCore.tsx:230; web/src/pages/cores/LiveCore.tsx:453; web/src/pages/cores/SettingsCore.tsx:1750,2,0
product-term,integration,Integration,legacy-alias:plugin,contextual-overlap,docs/product-language.json:95,web/src/pages/cores/ActivityCore.tsx:230; web/src/pages/cores/LiveCore.tsx:453; web/src/pages/cores/SettingsCore.tsx:1750,2,0
product-term,runs_on,Runs on,canonical-singular,observed,docs/product-language.json:101,web/src/desk/components/WorkbenchWindow.tsx:393; web/src/desk/pullouts/shared/CapabilitySection.tsx:177; web/src/lib/productLanguage.ts:32; web/src/pages/cores/ModelLibraryCore.tsx:329; web/src/pages/cores/SetupCore.tsx:163; web/src/pages/cores/dictation/SpeakFace.tsx:858,6,0
