id,rank,cost,rules,tenet,classification,title,evidence,candidate_fix,tuesday
W-C1-001,1,high,C1|T3|T4|T7,Tenet 3: one obvious move; Tenet 4: simple English; Tenet 7: first user job,verified,Retry and Retry intelligence label the same failed meeting Summary recovery job differently,web/src/pages/cores/history/helpers.ts:265-270 The implementation names the user-facing result a SUMMARY and keeps Run summary for the first run. || web/src/pages/cores/history/NeedsYouTable.tsx:92-110 The failed meeting row uses Retry and calls onRetryIntelligence. || web/src/pages/cores/history/DoorSection.tsx:114-129 The failed queue row posts to /api/intel/retry and renders Retry intelligence for a meeting row.,"Keep Run summary for the first run if that state distinction is intentional, then use one retry label for failed Summary recovery.",The owner sees two nouns for the same failed Summary recovery move.
W-C2-001,2,high,C2|T4|T7,Tenet 4: every face uses simple canonical language; Tenet 7: first user job,verified,Meeting output is called Intelligence and Summary on different faces,docs/product-language.json:23-27 The registry says the wire calls it meeting intelligence and every face says Summary. || web/src/pages/cores/LiveCore.tsx:340 Live face label is Intelligence. || web/src/meetings/MeetingSummarySlab.tsx:52 Meeting record face label is SUMMARY. || web/src/pages/cores/history/helpers.ts:265-270 Implementation explicitly identifies intelligence as the wire word for Summary.,Reserve Intelligence for the primitive or queue. Render Summary for the meeting output and its run state.,The owner cannot know whether Intelligence and Summary are two outputs or one.
W-C2-002,3,high,C2|T4,Tenet 4: one simple product name,verified,The saved Sequence pullout still says chain,docs/product-language.json:89-93 Sequence is the canonical saved capability noun. || web/src/lib/primitives.ts:529-535 The chain primitive is labelled Sequence in its product descriptor. || web/src/desk/pullouts/ChainPullout.tsx:42-47 The saved chain object pullout exposes the user-facing action Edit chain.,Use Edit Sequence on the saved chain pullout. Keep model fallback chain language in AssignmentEditor and AssignmentModelChooser until that separate concept has its own decision.,The owner sees chain on the saved Sequence object and may not connect the two names.
W-C2-003,4,low,C2,"Tenet 4: one canonical noun, with context preserved",no-verified-finding-contextual,"Routing profile is a distinct intent-routing control, not verified as Runs on","web/src/pages/cores/SettingsCore.tsx:1715-1721 Routing profile sits under the meeting Routing group and writes meeting.routing_profile alongside Intent router. || web/src/pages/cores/settingsPrefs.tsx:162-168 MIR_PROFILE_OPTIONS defines the intent-routing choices. || web/src/pages/cores/SettingsCore.tsx:197 The separate profile_id field is labelled Runs on. || docs/product-language.json:101-105 Profile is listed as a legacy alias for Runs on, so the registry alias is broader than this context.",Keep Routing profile for MIR intent routing if that is the intended job. Narrow the legacy alias rule so it does not collapse this setting into Runs on.,"The owner sees two profile concepts, but the source currently keeps their jobs separate."
W-C2-004,5,medium,C2|T4,Tenet 4: one canonical noun with scoped domain terms,verified-face-names-with-plugin-scope-review,"Named service connection renders as Integration, Connections and Connectors; meeting plugins remain a separate concept",web/src/desk/applications.ts:421; web/src/pages/cores/settingsPrefs.tsx:57; web/src/pages/cores/ActivityCore.tsx:230; web/src/desk/components/DeliveryBoard.tsx:329; docs/product-language.json:95,Use one face noun for the named service connection; preserve separately canonical meeting-plugin terminology.,The owner cannot tell whether a plugin is a service connection or a meeting analyzer.
W-C2-005,6,high,C2|T2|T3|U6,Tenet 2: first use; Tenet 3: no unnecessary interface,verified-stale-canon,Two POSITIONING canonical rows are stale against Article I and the manifest,docs/internal/POSITIONING.md:155-157 The table lists Home and Studio. || docs/internal/CONSTITUTION.md:62-72 Article I names Desk as the operating surface and supersedes the Phase 70 page information architecture. || docs/internal/POSITIONING.md:107-110 The prose says there is no Studio. || web/src/routes.tsx:21 The root route is Desk. || web/src/routes.tsx:70-72 /studio is demoted to Settings.,Amend or mark Home and Studio stale in POSITIONING before using the table as a naming authority.,A first user can enter a stale product world if a future face follows Home or Studio.
W-T4-001,7,medium,T4,Tenet 4: ASD-STE100 simple English,candidate-heuristic,Long or technical words have plain replacement candidates,web/src/desk/voice/ProposalStrip.tsx:75 Intent classification used Ask AI.: classification could be reviewed against “intent label”. || web/src/desk/applications.ts:165 Configuration: configuration could be reviewed against “setup”. || web/src/features/project-room/prepare/PreparePosture.tsx:626 DETERMINISTIC: deterministic could be reviewed against “fixed”. || web/src/pages/cores/CadenceCore.tsx:511 Notification mode: notification could be reviewed against “alert”. || web/src/desk/components/FirstWords.tsx:397 Voice typing unavailable: unavailable could be reviewed against “not available”. || web/src/desk/pullouts/DecisionPullout.tsx:102 Alternatives considered: alternatives could be reviewed against “other choices”. || web/src/desk/components/AttentionDrawer.tsx:203 Destination: destination could be reviewed against “where it goes”. || web/src/design/AtmospherePreview.tsx:82 Previous environment: environment could be reviewed against “place”. || web/src/features/project-room/steward/StewardPosture.tsx:490 Evaluation cadence: evaluation could be reviewed against “check”. || web/src/desk/components/ThreadComposer.tsx:92 Stop generation: generation could be reviewed against “response”. || web/src/pages/cores/TopologyMapView.tsx:549 Infrastructure topology: infrastructure could be reviewed against “system”. || web/src/components/AmbientLayer.tsx:127 Intelligence queue: intelligence could be reviewed against “summary/work”. || web/src/pages/cores/PeopleCore.tsx:222 New relationship: relationship could be reviewed against “connection”. || web/src/desk/pullouts/views/DecisionsView.tsx:258 Provenance: provenance could be reviewed against “source”. || web/src/pages/cores/SettingsCore.tsx:1675 Actuators: actuator could be reviewed against “automatic action”.,Review each candidate in context. Do not call any row an STE100 violation without dictionary and meaning review.,Technical words in labels and errors slow first-use understanding.
W-T4-002,8,medium,T4|A7,Tenet 4: short common words; Article VII: labels state what,verified-static-plus-candidate,The census contains 192 sentence or long-copy candidates in UI strings,".tmp/coherence/words/inventory.json AST inventory records 192 static rows with at least five words or sentence punctuation; examples follow. || web/src/desk/components/WorkbenchResourceful.tsx:185 RUNS AS OWNER · ONLY THE SELECTED MAINTENANCE ITEM RUNS · ORDINARY PENDING WORK IS NEVER SWEPT · SOURCE DATA IS REVIEW-ONLY (20 words; verified-static-prose). || web/src/features/project-room/_parked/setup/SuggestionCards.tsx:106 No Watch suggestions available. You can create a blank Project and add Watches later. (14 words; candidate-parked-prose). || web/src/features/project-room/steward/StewardPosture.tsx:519 Uses the model assigned in Settings > Models. Falls back to deterministic. (11 words; candidate-tooltip-prose). || web/src/desk/components/FirstWords.tsx:409 Recovered your local draft after relaunch. It remains editable below. (10 words; candidate-arrival-prose). || web/src/features/project-room/steward/StewardPosture.tsx:544 This PR has been waiting for review for {days} days. (10 words; candidate-placeholder-prose). || web/src/pages/cores/dictation/_parked/UtteranceWell.tsx:60 Project root: optional grounding scope, saved only on this device (10 words; candidate-parked-prose). || web/src/desk/components/ApplicationBoundary.tsx:43 . Your other Desk work remains open. Reload the application. (9 words; candidate-error-prose). || web/src/desk/components/ScheduleCreateWindow.tsx:138 Recording starts on its own at the set time (9 words; candidate-instruction-prose). || web/src/desk/components/WorkbenchTemplatePicker.tsx:86 Templates failed to load. Current work is unchanged. Retry. (9 words; candidate-error-prose). || web/src/pages/cores/CommandsCore.tsx:284 RUNS CODE ON THIS MACHINE WHEN THE KEYWORD MATCHES (9 words; candidate-warning-prose). || web/src/pages/cores/settingsWallpaper.tsx:143 SAVED ON THIS BROWSER · APPLIES LIVE TO THE FLOOR (9 words; candidate-status-prose). || web/src/desk/components/FirstWords.tsx:423 Transcribed text appears here. You can also type. (8 words; candidate-arrival-prose). || web/src/desk/pullouts/ThoughtContextPicker.tsx:174 Choose what AI may use for this Thought. (8 words; candidate-instruction-prose). || web/src/features/project-room/update/UpdatePosture.tsx:495 May send project data to the inference provider. (8 words; candidate-boundary-prose).",Review the 14 examples first. Keep only task-critical warnings and error recovery lines; shorten labels and status copy.,Long prose competes with the one move the owner needs.
W-T4-003,10,low,T4,"Tenet 4: state labels use simple, stable forms",no-verified-finding,No verified pluralized lifecycle state label was found,"docs/product-language.json:229-273 Lifecycle labels are singular or short phrases such as Ready, Failed, Needs review, and Needs attention. || web/src/pages/cores/history/MeetingReview.tsx:367 PROPOSALS · NOT RUN is a plural noun section, not a pluralized state word. || web/src/desk/components/MissionControlConveyor.tsx:611 RUNS is a section noun, not a lifecycle state.",Keep this as a regression check. Do not rewrite ordinary plural nouns as if they were state violations.,No action required from this check.
W-LIMIT-001,11,medium,C2|A7,Article VII: dynamic UI must still use canonical nouns,unresolved-runtime,"2,684 runtime expressions remain unresolved by static harvest",".tmp/coherence/words/inventory.json The AST census records 795 dynamic selected attributes and 1,889 dynamic JSX child expressions. || web/src/components/AmbientLayer.tsx:66 Rendered copy comes from preview.text at runtime. || web/src/desk/chair/ChairHome.tsx:868-871 Arrival headline and next action are runtime values.",Run the same noun and verb maps against representative rendered states in the surface walk.,Static counts cannot prove every runtime label is coherent.
