id,face_seam,face,srs_status,correction,unknown_or_inspected_proof
FR-DESK-001,`web/src/routes.tsx:20-76`; `web/src/App.tsx:46-68`,YES,IMPLEMENTED,retain,`web/src/routes.test.ts` was named by the shard; route behavior was source-inspected.
FR-DESK-002,`web/src/desk/components/DeskListView.tsx:81-91`; `web/src/desk/gl/WorldStage.tsx:364-386`,PARTLY,PARTIAL,retain PARTIAL; no all-object projection assertion,"Spatial and list paths consume the same store/world helpers, but parity is not exhaustively asserted."
FR-OBJ-001,`web/src/desk/world.ts:18-201`; `web/src/desk/gl/sceneModel.ts:163-207`,YES,IMPLEMENTED,retain,`web/src/desk/gl/__tests__/sceneModel.test.ts:146-164` asserts stable state projection; receipts/selection persistence are outside this row.
FR-OBJ-002,`web/src/desk/gl/WorldStage.tsx:364-383`; `web/src/desk/components/DeskListView.tsx:220-229`,PARTLY,PARTIAL,retain PARTIAL,"Marks, labels and `[x]` cues exist; the whole Pixi state set is not parity-tested."
FR-OBJ-003,`web/src/desk/gl/WorldStage.tsx:364-386`; `web/src/desk/components/DeskListView.tsx:292-305`,PARTLY,PARTIAL,retain PARTIAL; touch-specific proof is absent,Pointer/list keyboard paths exist; no inspected touch activation assertion.
FR-WIN-001,`web/src/desk/components/DeskWindow.tsx:815-873`,YES,IMPLEMENTED,retain,`web/src/desk/__tests__/windows.test.tsx:38-52` asserts shared title and three controls; move/resize source is in the same frame hook.
FR-WIN-002,`web/src/desk/store/workspaceStorage.ts:79-149`,YES,IMPLEMENTED,retain,`web/src/desk/__tests__/windows.test.tsx:187-216` inspects round-trip/order/max/min behavior; no future v2 migration registry.
FR-WIN-003,`web/src/desk/components/DeskWindow.tsx:719-736`; `web/src/desk/store/compositorSlice.ts:300-316`,YES,IMPLEMENTED,retain,Source returns focus to opener and MRU order is asserted at `windows.test.tsx:211-216`; reload focus is unknown.
FR-WIN-004,`web/src/desk/components/window/windowGeometry.ts:95-119`,YES,IMPLEMENTED,retain,The shard names numerical shell assertions; native multi-monitor areas are out of Web scope.
FR-WIN-005,Proposed `DesktopHost`; no native adapter in current Desk census,N/A,UNIMPLEMENTED,honest future host contract,No native host face exists; do not convert a proposed ADR into implementation.
FR-SEL-001,`web/src/desk/keymap.ts:66-87`; `web/src/desk/store/deskSlice.ts:131-143`,YES,IMPLEMENTED,retain,One key context reads selected IDs and dispatches registry verbs; cross-window selection persistence remains unknown.
FR-SEL-002,"`web/src/desk/gl/WorldStage.tsx:65-70,116-125`; `web/src/desk/gl/sceneModel.ts:334-348`",PARTLY,SPEC-DEBT,"**SRS WRONG → PARTIAL**; lasso/multi-select already exist, range/select-all/order remain debt",`sceneModel.test.ts:288-296` and `DeskListView.test.tsx:128-144` are assertion-bearing.
FR-MENU-001,`web/src/desk/verbRegistry.ts:133-145`; `web/src/desk/components/DeskMenu.tsx:313-337`,YES,IMPLEMENTED,retain,"`web/src/desk/__tests__/verbRegistry.test.ts:16-26` asserts unique IDs, labels and scopes; runner matrix is not exhaustive."
FR-MENU-002,`web/src/desk/verbRegistry.ts:41-47`; `web/src/desk/__tests__/verbRegistry.test.ts:28-34`,YES,IMPLEMENTED,retain,Ghost reason and no-run behavior are asserted; localization is separate debt.
FR-MENU-003,`web/src/desk/verbRegistry.ts:692-760`; `web/src/desk/components/ThreadComposer.tsx:603-640`,PARTLY,SPEC-DEBT,retain SPEC-DEBT; execution ownership needs a complete callback matrix,Slash ID parity is asserted at `verbRegistry.test.ts:118-124`; this does not prove every executor.
FR-KEY-001,"`web/src/desk/keymap.ts:19-89,112-127`",YES,IMPLEMENTED,retain,"`web/src/desk/__tests__/keymap.test.ts:34-81` asserts modifier, typing guard and dispatch."
FR-KEY-002,`web/src/desk/keymap.ts:21-64`; `web/src/desk/verbRegistry.ts:89-110`,PARTLY,SPEC-DEBT,retain SPEC-DEBT; no browser/AT/OS conflict matrix,The parser reserves primary modifiers but no conflict oracle or alternate label catalogue exists.
FR-DND-001,`web/src/desk/dropMatrix.ts:9-47`; `web/src/desk/gl/WorldStage.tsx:300-311`,YES,IMPLEMENTED,retain,`web/src/desk/__tests__/dropMatrix.test.ts:21-32` asserts inert unlisted pairs and named actions.
FR-DND-002,`web/src/desk/dropMatrix.ts:22-39`; `web/src/desk/verbRegistry.ts:133-145`,NO,UNIMPLEMENTED,honest future contract,"Matrix effects exist, but no matrix-to-verb coverage seam exists."
FR-DND-003,`web/src/desk/components/GlassDropLayer.tsx:41-95`; `web/src/desk/gl/WorldStage.tsx:300-311`,YES,IMPLEMENTED,retain; the row does not require a durable importer receipt,`GlassDropLayer.tsx:111-150` shows the named armed/import/refusal face; no owner observation is claimed.
FR-DND-004,`web/src/desk/gl/WorldStage.tsx:65-70`; `web/src/desk/dropMatrix.ts:22-39`,NO,UNIMPLEMENTED,honest future design contract,"Current lasso is selection, not a settled cross-window/orb drag contract."
FR-INFO-001,`web/src/desk/surface/contract.md:1-34`; `web/src/desk/components/InfoWindow.tsx:119-257`,PARTLY,IMPLEMENTED,"retain; object Info exposes identity/lineage and handoff verbs, while broader window provenance remains outside this row","`InfoWindow.tsx:142-207,228-250` is source evidence; no claim that every Desk window is an object inspection surface."
FR-INFO-002,`web/src/desk/surface/patterns/ProvenanceChip.tsx:35-65`; `web/src/desk/verbRegistry.ts:133-145`,PARTLY,SPEC-DEBT,retain SPEC-DEBT; presentational receipt is not durable receipt storage,"`Receipt` has status/label/time props, but no verb-to-persistence contract."
FR-STATE-001,`web/src/runtime/RuntimeBus.tsx:48-83`; `web/src/desk/components/TrustWindow.tsx:59-89`,PARTLY,IMPLEMENTED,"**SRS WRONG → PARTIAL**; transport state is real, universal freshness and unknown trust state are not","`RuntimeBus.test.tsx:51-75` proves one socket/frame/cleanup, not all surface freshness."
FR-STATE-002,`web/src/runtime/RuntimeBus.tsx:52-83`; `web/src/lib/api.ts:26-68`,PARTLY,PARTIAL,retain PARTIAL,No common subscriber/refetch protocol; this gap is correctly stated by the shard.
FR-HOST-001,Proposed `docs/internal/philo/adr/desktop-host.md:1`; no native adapter,N/A,UNIMPLEMENTED,honest future host contract,No host face or capability adapter exists.
FR-HOST-002,`web/src/main.tsx:1-26`; `web/src/App.tsx:46-74`,YES,IMPLEMENTED,retain,Browser boot and Desk route do not require a native host; owner observation is not claimed.
NFR-A11Y-001,`web/src/desk/keymap.ts:112-127`; `web/src/desk/gl/WorldStage.tsx:352-386`,PARTLY,PARTIAL,retain PARTIAL,Named controls and focusable list/world proxies exist; complete Desk keyboard walk/axe evidence is absent.
NFR-A11Y-002,"`web/src/desk/components/DeskWindow.tsx:719-736,780-816`",PARTLY,SPEC-DEBT,retain SPEC-DEBT,Opening/closing focus behavior exists; no focus-obscuration or virtual-keyboard oracle.
NFR-A11Y-003,`web/src/desk/dropMatrix.ts:22-47`; `web/src/desk/verbRegistry.ts:133-145`,NO,UNIMPLEMENTED,honest future contract,No equivalent keyboard/non-drag action for every matrix effect.
NFR-A11Y-004,`web/src/desk/surface/Surface.tsx:287-327`; `web/src/desk/components/DeskWindow.tsx:751-767`,PARTLY,SPEC-DEBT,retain SPEC-DEBT,Container/window responsive seams exist; no complete 393px action/state/source/egress parity evidence.
NFR-A11Y-005,`web/src/desk/surface/gadgets.tsx:609-684`; `web/src/desk/gl/WorldStage.tsx:370-374`,YES,IMPLEMENTED,"retain; the requirement asks for non-colour cues, not a forced-colours fixture",LedMeter/Lamp text and object ARIA cues are source evidence; whole-Desk forced-colour testing belongs to NFR-TEST-004.
NFR-A11Y-006,`web/src/desk/DeskApp.tsx:186-201`; `web/src/desk/components/DeskListView.tsx:268-330`,PARTLY,PARTIAL,retain PARTIAL,List parity consumes shared records and actions; no exhaustive census parity assertion.
NFR-PERF-001,`web/src/desk/DeskApp.tsx:184-201`; `web/src/desk/gl/sceneModel.ts:157-161`,PARTLY,SPEC-DEBT,retain SPEC-DEBT,"Object cap exists, but no reference scale/frame trace."
NFR-PERF-002,"`web/src/desk/components/DeskWindow.tsx:349-386,628-646`",YES,IMPLEMENTED,retain; source implements the compositor animation and bounded window update contract,"No performance run in this lane; lack of a trace is an evidence limit, not a source contradiction."
NFR-PERF-003,`web/src/desk/surface/Surface.tsx:438-449`; `web/src/desk/DeskApp.tsx:44-63`,PARTLY,SPEC-DEBT,"retain SPEC-DEBT; lazy terminal exists, measured first paint does not",Lazy import is source evidence; no first-usable mark or bundle budget.
NFR-PERF-004,`web/src/desk/gl/sceneModel.ts:157-161`; `web/src/runtime/RuntimeBus.tsx:41-83`,N/A,SPEC-DEBT,"retain SPEC-DEBT; this is a capacity contract, not a face",No documented degradation face or event/window ceilings.
NFR-REL-001,`web/src/runtime/RuntimeBus.tsx:48-83`,YES,IMPLEMENTED,retain; source has bounded attempts/delay and truthful state transitions,`RuntimeBus.test.tsx:51-75` inspects one socket/frame/cleanup; this lane did not rerun reconnect cases.
NFR-REL-002,`web/src/desk/store/workspaceStorage.ts:79-117`,YES,IMPLEMENTED,"retain, with malformed-input test gap",Catch/version/filter behavior is source-backed; tests named by the shard do not cover every malformed shape.
NFR-REL-003,"`web/src/lib/api.ts:14-23,62-68`; `web/src/desk/surface/Surface.tsx:201-253`",PARTLY,PARTIAL,retain PARTIAL,API and retry faces exist; host failures and durable domain receipts do not share one recovery contract.
NFR-I18N-001,`web/src/desk/surface/Surface.tsx:201-253`; `web/src/desk/verbRegistry.ts:133-145`,NO,UNIMPLEMENTED,honest future catalogue,Visible strings are still literals; no message catalogue/extractor.
NFR-I18N-002,`web/src/desk/surface/Surface.tsx:287-327`; `web/src/desk/components/DeskWindow.tsx:751-767`,PARTLY,UNIMPLEMENTED,honest future expansion fixture; responsive face exists,No 30/50 percent expansion fixture or measured width budget.
NFR-I18N-003,"`web/src/desk/surface/format.ts:7-35,74-95`",PARTLY,UNIMPLEMENTED,retain UNIMPLEMENTED; default locale formatters cover only part of the contract,`toLocaleDateString`/`toLocaleTimeString` are source evidence; number/byte formatting and locale injection are unknown.
NFR-I18N-004,`web/src/desk/surface/Surface.tsx:47-55`; proposed localization brief,NO,UNIMPLEMENTED,honest future RTL/bidi contract,No RTL layout or keyboard fixture.
NFR-THEME-001,`web/src/styles/tokens.css:240-300`; `web/src/lib/tokens.gen.ts:6-30`,PARTLY,PARTIAL,retain PARTIAL,Semantic roles exist; legacy overlays and direct color seams remain.
NFR-THEME-002,`web/src/styles/tokens.css:240-300`,NO,UNIMPLEMENTED,honest future high-contrast layer,No high-contrast token layer or snapshot face.
NFR-THEME-003,`web/src/styles/tokens.css:240-300`,NO,UNIMPLEMENTED,honest future light/system layer,Signal dark exists; light/system role parity is not implemented.
NFR-ERR-001,"`web/src/lib/api.ts:14-23,57-68`; `web/src/desk/surface/Surface.tsx:201-253`; `web/src/desk/components/TrustWindow.tsx:59-89`",PARTLY,IMPLEMENTED,**SRS WRONG → PARTIAL**; TrustWindow masks 503 and displays a false empty-destination state,`web/src/lib/api.test.ts:26-41` proves typed 503 only; no universal recovery assertion.
NFR-ERR-002,`web/src/desk/verbRegistry.ts:41-47`; `web/src/desk/gl/WorldStage.tsx:300-311`; `web/src/desk/components/GlassDropLayer.tsx:111-150`,PARTLY,IMPLEMENTED,"retain; source supplies ghost reasons, drop hints and refusal alerts; UI run evidence is outside this audit",`WorkMenu` consumes the ghost reason; no owner observation is claimed.
NFR-ERR-003,`web/src/desk/store/workspaceStorage.ts:131-153`; `web/src/desk/store/compositorSlice.ts:290-307`,PARTLY,PARTIAL,retain PARTIAL,Save catches storage failures and live store remains authoritative; no retry receipt or user-facing save-failure face.
NFR-TEST-001,"`scripts/check_docs.py:101-142`; `scripts/ux_canon_scan.py:953-1029`; `tests/unit/test_ux_canon_scan.py:466-527`; `tests/unit/test_ux_canon_ratchet.py:61-188`; `tests/unit/test_product_copy.py:67-94,257-264`; `tests/unit/test_product_language.py:30-105,121-151`; `web/package.json:17-20`",N/A,IMPLEMENTED,"retain; the full guard set covers links, canon rules/ratchet, product copy/language and token check/gate",Root reported 38 scanner tests green and clean npm token check/gate; this lane did not rerun them.
NFR-TEST-002,`web/src/desk/__tests__/shell.test.tsx:125-285`; `web/src/desk/__tests__/dropMatrix.test.ts:6-32`; `web/src/desk/__tests__/verbRegistry.test.ts:16-124`,N/A,IMPLEMENTED,retain for the named focused behaviors,Assertions were inspected; no test execution is claimed.
NFR-TEST-003,`docs/internal/TWO-BRAINS.md:1`; phase story acceptance,N/A,SPEC-DEBT,retain SPEC-DEBT; evidence artifact contract,"This is a merge/evidence requirement, not a product face; current root has glass proof for Trust only."
NFR-TEST-004,proposed quality fixture in `docs/internal/philo/briefs/workbench-design-srs.txt:302`,N/A,SPEC-DEBT,retain SPEC-DEBT,No reduced-motion/high-contrast/keyboard/RTL/pseudo-locale matrix run in this lane.
NFR-TEST-005,proposed `docs/internal/philo/adr/desktop-host.md:1`,N/A,UNIMPLEMENTED,honest future host test contract,No native host adapter exists to test.
NFR-CI-001,"`.github/workflows/test.yml:28-29,86-119`; `CLAUDE.md:83-103`",N/A,PARTIAL,retain PARTIAL,"CI has docs, npm and isolated-HOME jobs; Desk shard drift is not wired as a separate gate."
NFR-CI-002,`scripts/check_docs.py:101-142`; `docs/internal/philo/data/README.md:1-82`,N/A,SPEC-DEBT,retain SPEC-DEBT,No source-anchor validator for SRS/catalogue rows.
ROAD-001,`pm/roadmap/holdspeak-philo/phase-1-audit-and-specification/story-05-desk.md:1`; proposed host ADR,N/A,SPEC-DEBT,retain SPEC-DEBT,"Delivery order is process documentation, not a product face or implementation claim."
NFR-PERF-005,proposed `docs/internal/philo/DELIVERY_ROADMAP.md:1`,N/A,UNIMPLEMENTED,honest benchmark contract,No CPU fixture was run; no face exists for this metric.
NFR-PERF-006,proposed `docs/internal/philo/DELIVERY_ROADMAP.md:1`,N/A,UNIMPLEMENTED,honest benchmark contract,No heap/GC fixture was run; no face exists for this metric.
NFR-REL-004,`web/src/runtime/RuntimeBus.tsx:73-83`; `web/src/desk/DeskApp.tsx:95-121`,PARTLY,UNIMPLEMENTED,honest future reliability contract; current refresh failure face preserves visible Desk,No 30-second disconnect or duplicate-dispatch assertion.
