surface_file,jsx_sites,scope,failed_rules,review_rules,library_species_sites,raw_control_sites,direct_css_files,direct_css_literal_records,direct_css_off_type_records,evidence,coverage_note
web/src/App.tsx,15,consumer/support,,,1,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/components/AmbientLayer.tsx,49,consumer/support,,T4,2,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/components/AppShell.tsx,2,consumer/support,,,0,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/components/ErrorBoundary.tsx,4,consumer/support,,A7,1,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/components/signal/Signal.tsx,15,library implementation,,,0,4,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/design/AtmospherePreview.tsx,23,dev preview,,D1 D2 M10,0,6,web/src/styles/tokens.css | web/src/styles/global.css | web/src/desk/desk.css | web/src/design/atmosphere-preview.css,75,7,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/design/atmosphere-preview.tsx,1,dev preview,,,0,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/DeskApp.tsx,45,consumer/support,,D1 D2,1,0,web/src/desk/desk.css,18,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/Chair.tsx,1,consumer/support,,D1 D2 M10,0,0,web/src/desk/chair/chair.css,45,13,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/ChairHome.tsx,158,consumer/support,,,68,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/FinishThoughtsLane.tsx,17,parked,,,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/Lane.tsx,5,parked,,,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/ThoughtEntry.tsx,12,parked,,A7,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/hero/CaptureHero.tsx,17,parked,,D1 D2,,,web/src/desk/chair/_parked/hero/hero.css,1,3,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/lanes/AgentsLane.tsx,7,parked,,,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/lanes/BriefLane.tsx,15,parked,,T4,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/lanes/DoorBoardLane.tsx,78,parked,,A7,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/chair/_parked/lanes/MeetingsLane.tsx,1,parked,,,,,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/AgentAvatar.tsx,2,consumer/support,,,0,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/ApplicationBoundary.tsx,4,consumer/support,,A7,1,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/AskPanel.tsx,55,consumer/support,T5,A7 D1 D2 U3,21,1,web/src/desk/components/chrome-menus.css,134,10,web/src/desk/components/AskPanel.tsx:432,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/AttentionDrawer.tsx,78,consumer/support,,D1 D2 T4,19,0,web/src/desk/components/attention.css,121,3,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/CallChip.tsx,1,consumer/support,T5 U1,,0,1,,0,0,web/src/desk/components/CallChip.tsx:135,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeliveryBoard.tsx,81,consumer/support,T5 U1,D1 D2,20,3,web/src/desk/components/delivery.css,47,5,web/src/desk/components/DeliveryBoard.tsx:89 | web/src/desk/components/DeliveryBoard.tsx:439 | web/src/desk/components/DeliveryBoard.tsx:467,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeliveryDossierWindow.tsx,50,consumer/support,T5 U1,A7,10,1,,0,0,web/src/desk/components/DeliveryDossierWindow.tsx:236,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeliveryListSection.tsx,17,consumer/support,T5 U1,,0,1,,0,0,web/src/desk/components/DeliveryListSection.tsx:52,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeliveryTerminalWindow.tsx,37,consumer/support,,A7,8,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskChrome.tsx,27,consumer/support,T5 U1,D1 D2,5,2,web/src/desk/components/chrome-menus.css,134,10,web/src/desk/components/DeskChrome.tsx:41 | web/src/desk/components/DeskChrome.tsx:160,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskComposer.tsx,5,consumer/support,,D1 D2,3,0,web/src/desk/components/session-pullout.css,48,4,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskCreateMenu.tsx,6,consumer/support,T5 U1,A7,0,1,,0,0,web/src/desk/components/DeskCreateMenu.tsx:40,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskEditor.tsx,17,consumer/support,T5 U1,A7 D1 D2,0,11,web/src/desk/components/inline-editor.css,26,4,web/src/desk/components/DeskEditor.tsx:330 | web/src/desk/components/DeskEditor.tsx:340 | web/src/desk/components/DeskEditor.tsx:350 | web/src/desk/components/DeskEditor.tsx:360 | web/src/desk/components/DeskEditor.tsx:369 | web/src/desk/components/DeskEditor.tsx:378 | web/src/desk/components/DeskEditor.tsx:387 | web/src/desk/components/DeskEditor.tsx:396 | web/src/desk/components/DeskEditor.tsx:405 | web/src/desk/components/DeskEditor.tsx:414 | web/src/desk/components/DeskEditor.tsx:423,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskFilingStrip.tsx,25,consumer/support,T5 U1,T4,5,4,,0,0,web/src/desk/components/DeskFilingStrip.tsx:137 | web/src/desk/components/DeskFilingStrip.tsx:165 | web/src/desk/components/DeskFilingStrip.tsx:190 | web/src/desk/components/DeskFilingStrip.tsx:200,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskListView.tsx,23,consumer/support,,A7 D1 D2,4,0,web/src/desk/components/list-view.css,29,7,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskMenu.tsx,29,consumer/support,T5 U1,A7,0,4,,0,0,web/src/desk/components/DeskMenu.tsx:154 | web/src/desk/components/DeskMenu.tsx:322 | web/src/desk/components/DeskMenu.tsx:402 | web/src/desk/components/DeskMenu.tsx:567,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskMenuBar.tsx,4,consumer/support,T5 U1,D1 D2,0,1,web/src/desk/components/chrome-menus.css,134,10,web/src/desk/components/DeskMenuBar.tsx:89,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskSortableTable.tsx,21,consumer/support,T5 U1,D1 D2 U3,1,1,web/src/desk/components/list-view.css,29,7,web/src/desk/components/DeskSortableTable.tsx:96,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskStartActions.tsx,6,consumer/support,T5 U1,,0,2,,0,0,web/src/desk/components/DeskStartActions.tsx:16 | web/src/desk/components/DeskStartActions.tsx:23,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskToolInspector.tsx,69,consumer/support,T5 U1,A7 D1 D2 T4 U6,3,10,web/src/desk/components/chrome-menus.css,134,10,web/src/desk/components/DeskToolInspector.tsx:274 | web/src/desk/components/DeskToolInspector.tsx:293 | web/src/desk/components/DeskToolInspector.tsx:329 | web/src/desk/components/DeskToolInspector.tsx:338 | web/src/desk/components/DeskToolInspector.tsx:387 | web/src/desk/components/DeskToolInspector.tsx:459 | web/src/desk/components/DeskToolInspector.tsx:468 | web/src/desk/components/DeskToolInspector.tsx:479 | web/src/desk/components/DeskToolInspector.tsx:503 | web/src/desk/components/DeskToolInspector.tsx:515,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskToolShelf.tsx,18,consumer/support,T5 U1,A7 D1 D2 U6,1,2,web/src/desk/components/chrome-menus.css,134,10,web/src/desk/components/DeskToolShelf.tsx:501 | web/src/desk/components/DeskToolShelf.tsx:566,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/DeskWindow.tsx,18,consumer/support,T5 U1,,0,3,,0,0,web/src/desk/components/DeskWindow.tsx:838 | web/src/desk/components/DeskWindow.tsx:846 | web/src/desk/components/DeskWindow.tsx:855,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/EditorAIBar.tsx,6,consumer/support,,D1 D2 U3,2,0,web/src/desk/components/inline-editor.css,26,4,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/EmptyDesk.tsx,12,consumer/support,T5 U1,A7 D1 D2,0,2,web/src/desk/components/inline-editor.css,26,4,web/src/desk/components/EmptyDesk.tsx:38 | web/src/desk/components/EmptyDesk.tsx:48,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/FirstWords.tsx,18,consumer/support,T5 U1,A7 T4,8,2,,0,0,web/src/desk/components/FirstWords.tsx:360 | web/src/desk/components/FirstWords.tsx:458,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/GlassDropLayer.tsx,16,consumer/support,T5 U1,A7,0,3,,0,0,web/src/desk/components/GlassDropLayer.tsx:142 | web/src/desk/components/GlassDropLayer.tsx:151 | web/src/desk/components/GlassDropLayer.tsx:165,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/GroundingSection.tsx,38,consumer/support,T5 U1,A7,7,5,,0,0,web/src/desk/components/GroundingSection.tsx:205 | web/src/desk/components/GroundingSection.tsx:225 | web/src/desk/components/GroundingSection.tsx:259 | web/src/desk/components/GroundingSection.tsx:296 | web/src/desk/components/GroundingSection.tsx:350,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/InfoWindow.tsx,46,consumer/support,T5 U1,,3,4,,0,0,web/src/desk/components/InfoWindow.tsx:45 | web/src/desk/components/InfoWindow.tsx:178 | web/src/desk/components/InfoWindow.tsx:198 | web/src/desk/components/InfoWindow.tsx:239,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/InletAutocomplete.tsx,16,consumer/support,,D1 U3,4,0,web/src/desk/components/inlet-autocomplete.css,6,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/InlineEditor.tsx,6,consumer/support,,D1 D2,3,0,web/src/desk/components/inline-editor.css,26,4,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/InterviewPanel.tsx,37,consumer/support,,A7 D1 T4,10,0,web/src/desk/components/interview.css,13,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/MicButton.tsx,11,library implementation,,D1 D2,0,2,web/src/desk/components/speak-to-fill.css,25,2,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/MissionControlConveyor.tsx,96,consumer/support,T5 U1,A7 D1 D2 T4,20,4,web/src/desk/components/mission-control.css,85,12,web/src/desk/components/MissionControlConveyor.tsx:80 | web/src/desk/components/MissionControlConveyor.tsx:158 | web/src/desk/components/MissionControlConveyor.tsx:180 | web/src/desk/components/MissionControlConveyor.tsx:470,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/ModeTabs.tsx,4,consumer/support,T5 U1,,0,1,,0,0,web/src/desk/components/ModeTabs.tsx:121,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/NewWorkbenchChooser.tsx,3,consumer/support,,,0,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/PrReceiptsSection.tsx,84,consumer/support,,A7 D1 D2 T4 U6,18,0,web/src/desk/components/delivery.css,47,5,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/Pullout.tsx,16,consumer/support,T5 U1,A7 D1 D2,2,1,web/src/desk/components/pullout.css,109,5,web/src/desk/components/Pullout.tsx:125,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/RailsPicker.tsx,16,consumer/support,T5 U1,U3,3,1,,0,0,web/src/desk/components/RailsPicker.tsx:146,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/ReceiptLine.tsx,1,consumer/support,,,0,0,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/RecordOrb.tsx,5,consumer/support,T5 U1,D1,0,1,web/src/desk/components/record-orb.css,4,0,web/src/desk/components/RecordOrb.tsx:58,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/RepoWindow.tsx,29,consumer/support,,D1 D2 T4,12,0,web/src/desk/components/RepoWindow.css,16,2,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/RoadmapWindow.tsx,41,consumer/support,,D1 D2,7,0,web/src/desk/components/RoadmapWindow.css,40,6,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
web/src/desk/components/ScheduleCreateWindow.tsx,20,consumer/support,,A7 D2 T5,12,1,,0,0,,Own written source and direct CSS imports only; shared descendants/styles are separate rows; blank is not a pass.
