group_id,same_job,canonical,label,classification,evidence
open-existing,"open an existing record, row, or window",Open,Open,coherent,web/src/desk/chair/ChairHome.tsx:1475; web/src/desk/chair/ChairHome.tsx:1488; web/src/desk/chair/ChairHome.tsx:1630; web/src/desk/chair/ChairHome.tsx:1678; web/src/desk/chair/ChairHome.tsx:1694; web/src/desk/chair/ChairHome.tsx:1953; web/src/desk/chair/ChairHome.tsx:2030; web/src/desk/components/AttentionDrawer.tsx:156; web/src/desk/components/DeliveryDossierWindow.tsx:226; web/src/desk/components/SystemShade.tsx:331; web/src/desk/components/SystemShade.tsx:381; web/src/desk/components/SystemShade.tsx:589; docs/internal/POSITIONING.md:202
run-meeting-summary,start or repeat a meeting Summary run,Run summary,Run summary,state-specific-coherent,web/src/pages/cores/history/helpers.ts:265-270; web/src/pages/cores/history/CatalogRail.tsx:239-257
run-meeting-summary,start or repeat a meeting Summary run,Run summary,Retry,state-specific-coherent,web/src/pages/cores/history/helpers.ts:265-270; web/src/pages/cores/history/CatalogRail.tsx:239-257
commit-proposal,commit a proposed effect or extracted proposal,Confirm,Confirm,candidate-conflict,docs/internal/POSITIONING.md:201-202; web/src/pages/cores/history/MeetingReview.tsx:532-536; web/src/components/AmbientLayer.tsx:313-328; docs/product-language.json:299-304
commit-proposal,commit a proposed effect or extracted proposal,Confirm,Approve,candidate-conflict,docs/internal/POSITIONING.md:201-202; web/src/pages/cores/history/MeetingReview.tsx:532-536; web/src/components/AmbientLayer.tsx:313-328; docs/product-language.json:299-304
create-object,create a new Desk object,New,New Note,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
create-object,create a new Desk object,New,New Decision,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
create-object,create a new Desk object,New,New Knowledge,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
create-object,create a new Desk object,New,New Agent,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
create-object,create a new Desk object,New,New Workflow,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
create-object,create a new Desk object,New,New Workbench,coherent,web/src/desk/verbRegistry.ts:137-198; web/src/desk/components/DeskCreateMenu.tsx:36-49
edit-record,edit an existing record in place,Edit,Edit,coherent-with-context,web/src/desk/pullouts/ChainPullout.tsx:72; web/src/desk/pullouts/WorkflowPullout.tsx:66; web/src/desk/pullouts/NotePullout.tsx:457-462
edit-record,edit an existing record in place,Edit,Edit Workflow,coherent-with-context,web/src/desk/pullouts/ChainPullout.tsx:72; web/src/desk/pullouts/WorkflowPullout.tsx:66; web/src/desk/pullouts/NotePullout.tsx:457-462
edit-record,edit an existing record in place,Edit,Edit working note,coherent-with-context,web/src/desk/pullouts/ChainPullout.tsx:72; web/src/desk/pullouts/WorkflowPullout.tsx:66; web/src/desk/pullouts/NotePullout.tsx:457-462
save-record,persist an edited record,Save,Save,coherent,web/src/desk/chair/ChairHome.tsx:1413; web/src/desk/components/InlineEditor.tsx:54; web/src/desk/pullouts/KbPullout.tsx:82; web/src/desk/pullouts/NotePullout.tsx:452; web/src/desk/pullouts/RecipePullout.tsx:91; web/src/desk/pullouts/ThreadPullout.tsx:772; web/src/desk/pullouts/WorkflowPullout.tsx:50; web/src/features/project-room/_parked/setup/SetupInterview.tsx:258; web/src/features/project-room/recall/RecallFace.tsx:263; web/src/features/project-room/steward/StewardPosture.tsx:607; web/src/features/project-room/update/UpdatePosture.tsx:569; web/src/pages/cores/ConstitutionalContextCore.tsx:150
