row_id,rule,thing_or_job,names_before,names_after,closed,site_before,site_after,anchor_text,fence,shot
01,F06 / U6 / C2 / T4,"a meeting result (Live, the result section)",Summary | Intelligence,Summary,yes,web/src/pages/cores/LiveCore.tsx:340,web/src/pages/cores/LiveCore.tsx:401,"label=""Summary""",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-summary-1440.png; live-summary-393.png
02,F06 / U6 / C2 / T4,a meeting result (Live gear door run state),Summary | Intelligence,Summary,yes,web/src/pages/cores/LiveCore.tsx:476,web/src/pages/cores/LiveCore.tsx:522,"<SurfaceSection label=""Summary"">",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-door-summary-1440.png; live-door-summary-393.png
03,M6 / A7,the capture state (Live row vs footer receipt),connected · ready + READY,Link · connected + READY,yes,web/src/pages/cores/LiveCore.tsx:350,web/src/pages/cores/LiveCore.tsx:361,"const factsLine = `Link · ${connection || ""unknown""}`;",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-summary-1440.png; live-summary-393.png
04,F21 / M6,the segment count (Live footer receipt),N SEG,(withheld; the stream head counts),yes,web/src/pages/cores/LiveCore.tsx:696,web/src/pages/cores/LiveCore.tsx:753,"{active ? `REC ${duration}` : ""READY""}",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-summary-1440.png; live-summary-393.png
05,U3,action items on a Summary with none,0 action items,(withheld),yes,web/src/pages/cores/LiveCore.tsx:390,web/src/pages/cores/LiveCore.tsx:422,"countToken(intelActionCount, ""action item"", ""action items""),",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-summary-1440.png
06,U3,the deferred queue on an idle desk,total/queued/running/failed/queued due/scheduled retry jobs = 0 (six),No jobs waiting,yes,web/src/pages/cores/LiveCore.tsx:475,web/src/pages/cores/LiveCore.tsx:538,"emptyLabel=""No jobs waiting""",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-door-summary-1440.png; live-door-summary-393.png
06b,M5,the deferred queue section on the real idle wire,header + a lone verb (next_retry_at null counted as a fact),No jobs waiting,yes,web/src/pages/cores/LiveCore.tsx:475,web/src/pages/cores/LiveCore.tsx:377,"if (![""string"", ""number"", ""boolean""].includes(typeof value)) continue;",web/src/pages/cores/__tests__/summaryName202.test.tsx,live-door-summary-393.png
07,F07 / C1 / U6,recover a failed meeting Summary,Retry | Retry intelligence,Retry,yes,web/src/pages/cores/history/DoorSection.tsx:114,web/src/pages/cores/history/DoorSection.tsx:138,"{row.meeting_id ? ""Retry"" : ""Retry background work""}",web/src/pages/cores/history/__tests__/oneRetryOneAllClear202.test.tsx,(no fixture route mints a failed intel job)
08,M6,the cold Meetings all-clear,No meetings yet (twice),No meetings yet + Record or import a meeting,yes,web/src/pages/cores/history/CatalogRail.tsx:309,web/src/pages/cores/history/CatalogRail.tsx:315,"emptyLabel=""Record or import a meeting""",web/src/pages/cores/history/__tests__/oneRetryOneAllClear202.test.tsx,meetings-empty-1440.png; meetings-empty-393.png
09,F08 / C2 / U6,edit a saved Sequence,Edit chain,Edit Sequence,yes,web/src/desk/pullouts/ChainPullout.tsx:42,web/src/desk/pullouts/ChainPullout.tsx:51,"actionLabel=""Edit Sequence""",web/src/desk/pullouts/__tests__/sequenceVerb202.test.tsx,sequence-pullout-1440.png; sequence-pullout-393.png
