file,line,rule,text,scanner_face,confidence
web/src/desk/surface/patterns/ActionNotice.tsx,33,A1,Raw <button> element (use library Button): <button,ActionNotice,
web/src/desk/components/ApplicationBoundary.tsx,42,A3-prose,"Prose in <p>/<small> element: ""{this.props.label} failed here because {reason}. Your other Desk work remains op...""",ApplicationBoundary,
web/src/desk/pullouts/ArtifactPullout.tsx,38,A1,Raw <button> element (use library Button): <button,ArtifactPullout,
web/src/desk/pullouts/ArtifactPullout.tsx,57,A1,Raw <button> element (use library Button): <button,ArtifactPullout,
web/src/desk/pullouts/ArtifactPullout.tsx,64,A1,Raw <button> element (use library Button): <button,ArtifactPullout,
web/src/desk/components/AskPanel.tsx,171,A8,"Counter may render zero (.length without guard): setSent({ prompt: prompt.trim(), lens, ctx: context.length });",AskPanel,medium
web/src/desk/components/AskPanel.tsx,272,emoji,"Emoji in JSX text: glyph=""✦""",AskPanel,
web/src/desk/components/AskPanel.tsx,277,emoji,Emoji in JSX text: ✦,AskPanel,
web/src/desk/components/AskPanel.tsx,400,A3-prose,"Prose in <p>/<small> element: ""GROUNDED ON {groundedMatchCount(receipt)} OF{"" ""} {receipt.matchedCount}...""",AskPanel,
web/src/desk/components/AskPanel.tsx,401,A8,"Counter may render zero (count pattern): GROUNDED ON {groundedMatchCount(receipt)} OF{"" ""}",AskPanel,low
web/src/desk/components/AskPanel.tsx,408,A3-prose,"Prose in <p>/<small> element: ""{c.label === ""partial"" ? ""◐"" : ""◇""} {c.text}...""",AskPanel,
web/src/desk/components/AskPanel.tsx,432,B,Raw control element: <textarea,AskPanel,
web/src/desk/components/AskPanel.tsx,483,A8,"Counter may render zero (.length without guard): CTX · {context.length}{"" ""}",AskPanel,medium
web/src/desk/components/AskPanel.tsx,496,A8,Counter may render zero (.length without guard): CONTEXT · {context.length},AskPanel,medium
web/src/desk/components/AskPanel.tsx,556,A8,Counter may render zero (.length without guard): : `${selectedIds.length} selected`},AskPanel,medium
web/src/pages/cores/AssignmentModelChooser.tsx,70,A1,Raw <button> element (use library Button): return <button,AssignmentModelChooser,
web/src/pages/cores/CadenceCore.tsx,620,A3-prose,"Prose in <p>/<small> element: ""{String(next.body ?? next.body_markdown ?? """")}...""",CadenceCore,
web/src/pages/cores/CalendarSnapshotReviewCore.tsx,122,A3-prose,"Prose in <p>/<small> element: ""{phase.message === ""unreadable_screenshot"" ? ""Could not read the screenshot as a...""",CalendarSnapshotReviewCore,
web/src/pages/cores/CalendarSnapshotReviewCore.tsx,147,A3-prose,"Prose in <p>/<small> element: ""{phase.count} event{phase.count !== 1 ? ""s"" : """"} imported as {phase.sourceLabel...""",CalendarSnapshotReviewCore,
web/src/desk/components/CallChip.tsx,135,A1,Raw <button> element (use library Button): <button,CallChip,
web/src/pages/cores/CapabilityAssignmentsCore.tsx,94,raw-ids,"ID field rendered as text: {taskRows.length ? <div className=""assignment-task-rows"">{taskRows.map((task: AssignmentTaskOverride",CapabilityAssignmentsCore,medium
web/src/desk/pullouts/shared/CapabilitySection.tsx,129,B,Raw control element: <input,CapabilitySection,
web/src/desk/pullouts/shared/CapabilitySection.tsx,136,A1,Raw <button> element (use library Button): <button,CapabilitySection,
web/src/desk/pullouts/shared/CapabilitySection.tsx,187,A1,Raw <button> element (use library Button): <button,CapabilitySection,
web/src/desk/pullouts/shared/CapabilitySection.tsx,204,A1,Raw <button> element (use library Button): <button,CapabilitySection,
web/src/desk/pullouts/shared/CapabilitySection.tsx,213,A3-prose,"Prose in <p>/<small> element: ""Receipt {actualPlacement?.model ? ` · ${String(actualPlacement.model)}` : """"} {r...""",CapabilitySection,
web/src/desk/pullouts/ChainPullout.tsx,58,A1,Raw <button> element (use library Button): <SurfaceFooter verbs={<> <button,ChainPullout,
web/src/desk/pullouts/ChainPullout.tsx,67,A1,Raw <button> element (use library Button): <button,ChainPullout,
web/src/desk/surface/patterns/ChoiceCardGroup.tsx,63,A1,Raw <button> element (use library Button): <button,ChoiceCardGroup,
web/src/desk/pullouts/CoderPullout.tsx,53,A3-prose,"Prose in <p>/<small> element: ""{humanizeWireValue(String(ir.model || """"))} · {humanizeWireValue(String(ir.state...""",CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,78,A1,Raw <button> element (use library Button): <button,CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,109,B,Raw control element: <textarea,CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,117,A1,Raw <button> element (use library Button): <button,CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,147,A1,Raw <button> element (use library Button): <button,CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,166,A1,Raw <button> element (use library Button): <SurfaceFooter verbs={<> <button,CoderPullout,
web/src/desk/pullouts/CoderPullout.tsx,173,A1,Raw <button> element (use library Button): <button,CoderPullout,
web/src/pages/cores/CommandsCore.tsx,283,A3-prose,"Prose in <p>/<small> element: ""RUNS CODE ON THIS MACHINE WHEN THE KEYWORD MATCHES...""",CommandsCore,
web/src/pages/cores/ComponentsCore.tsx,128,emoji,"Emoji in JSX text: <TransportKey label=""KILL"" glyph=""✕"" tone=""danger"" />",ComponentsCore,
web/src/pages/cores/ComponentsCore.tsx,291,emoji,"Emoji in JSX text: <ActionNotice tone=""ok"" icon={""✓""}>",ComponentsCore,
web/src/pages/cores/ComponentsCore.tsx,296,emoji,"Emoji in JSX text: icon={""⚠""}",ComponentsCore,
web/src/pages/cores/ComponentsCore.tsx,301,emoji,"Emoji in JSX text: <ActionNotice tone=""danger"" icon={""✗""}>",ComponentsCore,
web/src/pages/cores/ComponentsCore.tsx,402,A1,Raw <button> element (use library Button): <button,ComponentsCore,
web/src/pages/cores/ComponentsCore.tsx,416,A3-prose,"Prose in <p>/<small> element: ""Popover content. Escape dismisses. Focus is trapped....""",ComponentsCore,
web/src/features/concierge/ConciergeCore.tsx,485,A8,Counter may render zero (.length without guard): {`NEEDS YOU ${ctrl.repairs.length}`},ConciergeCore,medium
web/src/desk/components/DeliveryBoard.tsx,89,A1,Raw <button> element (use library Button): <button,DeliveryBoard,
web/src/desk/components/DeliveryBoard.tsx,439,A1,Raw <button> element (use library Button): <button,DeliveryBoard,
web/src/desk/components/DeliveryBoard.tsx,467,A1,Raw <button> element (use library Button): <button,DeliveryBoard,
web/src/desk/components/DeliveryDossierWindow.tsx,236,A1,Raw <button> element (use library Button): <button,DeliveryDossierWindow,
web/src/desk/components/DeliveryListSection.tsx,52,A1,Raw <button> element (use library Button): <button,DeliveryListSection,
